review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability
R3A-D81C5B5C3197,due,due,0,due,ACCEPTABLE_PREFERRED
R3A-D81C5B5C3197,due,due,1,ड्यू,ACCEPTABLE_PREFERRED
R3A-2CAD17A31352,total,total,0,टोटल,ACCEPTABLE_PREFERRED
R3A-2CAD17A31352,total,total,1,total,ACCEPTABLE_PREFERRED
R3A-C55159DEA9B4,balance,balance,0,balance,ACCEPTABLE_PREFERRED
R3A-C55159DEA9B4,balance,balance,1,ब्यालेन्स,ACCEPTABLE_PREFERRED
R3A-C55159DEA9B4,balance,balance,2,हिसाब,ACCEPTABLE_PREFERRED
R3A-6D65C017CF24,lekh,lekh,0,lekh,ACCEPTABLE_PREFERRED
R3A-6D65C017CF24,lekh,lekh,1,लेख,ACCEPTABLE_PREFERRED
R3A-433EDC9F6C5E,dherai,dherai,0,dherai,ACCEPTABLE_PREFERRED
R3A-433EDC9F6C5E,dherai,dherai,1,धेरै,ACCEPTABLE_PREFERRED
R3A-79B012C03064,sabai,sabai,0,सबै,ACCEPTABLE_PREFERRED
R3A-79B012C03064,sabai,sabai,1,sabai,ACCEPTABLE_PREFERRED
R3A-589DC1F8F577,voucher,voucher,0,voucher,ACCEPTABLE_PREFERRED
R3A-249ADDBC500F,amount,amount,0,amount,ACCEPTABLE_PREFERRED
R3A-C7D45E4B6625,znxg,znxg,0,znxg,UNNATURAL_BUT_POSSIBLE
R3A-1ECE91757DA9,blorp,blorp,0,blorp,UNNATURAL_BUT_POSSIBLE
R3A-1E521567ADDA,mary,mary,0,mary,UNNATURAL_BUT_POSSIBLE
R3A-F3D8DE0BFE22,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
R3A-BA4616E7C135,owner,owner,0,मालिक,ACCEPTABLE_PREFERRED
R3A-BA4616E7C135,owner,owner,1,owner,ACCEPTABLE_PREFERRED
R3A-52B1B116547F,anita,anita,0,अनिता,ACCEPTABLE_PREFERRED
R3A-52B1B116547F,anita,anita,1,anita,ACCEPTABLE_PREFERRED
R3A-DEC366606C62,ram,ram,0,राम,ACCEPTABLE_PREFERRED
R3A-DEC366606C62,ram,ram,1,रम,UNNATURAL_BUT_POSSIBLE
R3A-DEC366606C62,ram,ram,2,ram,ACCEPTABLE_PREFERRED
R3A-E835A1D01157,gita,gita,0,गइत,UNNATURAL_BUT_POSSIBLE
R3A-E835A1D01157,gita,gita,1,गीता,ACCEPTABLE_PREFERRED
R3A-E835A1D01157,gita,gita,2,gita,ACCEPTABLE_PREFERRED
R3A-F16AFA9E4AC3,kineko,kineko,0,किनेको,ACCEPTABLE_PREFERRED
R3A-F16AFA9E4AC3,kineko,kineko,1,kineko,ACCEPTABLE_PREFERRED
R3A-2573D516AAC5,sunnu,sunnu,0,sunnu,ACCEPTABLE_PREFERRED
R3A-2573D516AAC5,sunnu,sunnu,1,सुन्नु,ACCEPTABLE_PREFERRED
R3A-11C576A29373,loss,loss,0,लस,ACCEPTABLE_PREFERRED
R3A-11C576A29373,loss,loss,1,loss,ACCEPTABLE_PREFERRED
R3A-458970948EDF,unit,unit,0,इकाई,ACCEPTABLE_PREFERRED
R3A-458970948EDF,unit,unit,1,unit,ACCEPTABLE_PREFERRED
R3A-B4C60C073F8C,supplier,supplier,0,supplier,ACCEPTABLE_PREFERRED
R3A-B4C60C073F8C,supplier,supplier,1,सप्लायर,ACCEPTABLE_PREFERRED
R3A-CFE4B5AA9EC9,aja,aja,0,आज,ACCEPTABLE_PREFERRED
R3A-CFE4B5AA9EC9,aja,aja,1,aja,ACCEPTABLE_PREFERRED
R3A-8C7D6F3ED27B,preeti,preeti,0,preeti,ACCEPTABLE_PREFERRED
R3A-8C7D6F3ED27B,preeti,preeti,1,प्रीति,ACCEPTABLE_PREFERRED
R3A-DD00E9658A07,garidim,garidim,0,गरिदिम्,ACCEPTABLE_PREFERRED
R3A-DD00E9658A07,garidim,garidim,1,garidim,ACCEPTABLE_PREFERRED
R3A-19BD164EF09F,ledger,ledger,0,लेजर,ACCEPTABLE_PREFERRED
R3A-19BD164EF09F,ledger,ledger,1,ledger,ACCEPTABLE_PREFERRED
R3A-746D07D2BE40,dekhau,dekhau,0,देखाउ,ACCEPTABLE_PREFERRED
R3A-746D07D2BE40,dekhau,dekhau,1,dekhau,ACCEPTABLE_PREFERRED
R3A-2DC856D4D6FF,xu,xu,0,छु,ACCEPTABLE_PREFERRED
R3A-2DC856D4D6FF,xu,xu,1,xu,ACCEPTABLE_PREFERRED
R3A-1C07AF58CC39,ram dai aayo,ram,0,राम,ACCEPTABLE_PREFERRED
R3A-1C07AF58CC39,ram dai aayo,ram,1,ram,ACCEPTABLE_PREFERRED
R3A-0A1601A427F9,znxg,znxg,0,znxg,UNNATURAL_BUT_POSSIBLE
R3A-9DD5A68A1E47,thana,thana,0,thana,ACCEPTABLE_PREFERRED
R3A-9DD5A68A1E47,thana,thana,1,थाना,ACCEPTABLE_PREFERRED
R3A-87A3E123EEB2,hari,hari,0,हरि,ACCEPTABLE_PREFERRED
R3A-87A3E123EEB2,hari,hari,1,हृ,UNNATURAL_BUT_POSSIBLE
R3A-87A3E123EEB2,hari,hari,2,hari,ACCEPTABLE_PREFERRED
R3A-3D948BB91CB2,commission,commission,0,कमिसन,ACCEPTABLE_PREFERRED
R3A-3D948BB91CB2,commission,commission,1,commission,ACCEPTABLE_PREFERRED
R3A-0F7FBD8EB910,party,party,0,पार्टी,ACCEPTABLE_PREFERRED
R3A-0F7FBD8EB910,party,party,1,party,ACCEPTABLE_PREFERRED
R3A-4B43CD1650FC,ghata,ghata,0,ghata,ACCEPTABLE_PREFERRED
R3A-4B43CD1650FC,ghata,ghata,1,घाटा,ACCEPTABLE_PREFERRED
R3A-473762AA5C8F,bholi,bholi,0,भोलि,ACCEPTABLE_PREFERRED
R3A-473762AA5C8F,bholi,bholi,1,bholi,ACCEPTABLE_PREFERRED
R3A-91E0F15B74E7,receipt,receipt,0,रसिद,ACCEPTABLE_PREFERRED
R3A-91E0F15B74E7,receipt,receipt,1,receipt,ACCEPTABLE_PREFERRED
R3A-81E39CBCED53,ok,ok,0,ok,ACCEPTABLE_PREFERRED
R3A-D741A2C87671,plan,plan,0,plan,ACCEPTABLE_PREFERRED
R3A-D741A2C87671,plan,plan,1,प्लान,ACCEPTABLE_PREFERRED
R3A-AB46E3F8600E,net,net,0,net,ACCEPTABLE_PREFERRED
R3A-7874572285AD,discount,discount,0,डिस्काउन्ट,ACCEPTABLE_PREFERRED
R3A-7874572285AD,discount,discount,1,discount,ACCEPTABLE_PREFERRED
R3A-825BB747601C,please,please,0,please,ACCEPTABLE_PREFERRED
R3A-D41A31C71C46,stock,stock,0,stock,ACCEPTABLE_PREFERRED
R3A-D41A31C71C46,stock,stock,1,स्टक,ACCEPTABLE_PREFERRED
R3A-A547FA55FAA3,kine,kine,0,kine,ACCEPTABLE_PREFERRED
R3A-A547FA55FAA3,kine,kine,1,किने,ACCEPTABLE_PREFERRED
R3A-59A86236B8E1,rajeev,rajeev,0,rajeev,ACCEPTABLE_PREFERRED
R3A-59A86236B8E1,rajeev,rajeev,1,राजीव,ACCEPTABLE_PREFERRED
R3A-D7ABD644B593,ram dai aayo,ram,0,राम,ACCEPTABLE_PREFERRED
R3A-D7ABD644B593,ram dai aayo,ram,1,ram,ACCEPTABLE_PREFERRED
R3A-CBAC4A22C534,ram dai aayo,ram,0,ram,ACCEPTABLE_PREFERRED
R3A-CBAC4A22C534,ram dai aayo,ram,1,राम,ACCEPTABLE_PREFERRED
R3A-BD31D1068C43,pcs,pcs,0,pcs,ACCEPTABLE_PREFERRED
R3A-BD31D1068C43,pcs,pcs,1,वटा,ACCEPTABLE_PREFERRED
R3A-C79C78C6A996,lai,lai,0,लाई,ACCEPTABLE_PREFERRED
R3A-C79C78C6A996,lai,lai,1,lai,ACCEPTABLE_PREFERRED
R3A-F5CF1B72BF07,blorp,blorp,0,blorp,UNNATURAL_BUT_POSSIBLE
R3A-0179AF09253F,qwerty,qwerty,0,qwerty,UNNATURAL_BUT_POSSIBLE
R3A-35D8AB1646F4,cash,cash,0,क्यास,ACCEPTABLE_PREFERRED
R3A-35D8AB1646F4,cash,cash,1,cash,ACCEPTABLE_PREFERRED
R3A-9F9619436CA3,credit,credit,0,credit,ACCEPTABLE_PREFERRED
R3A-9F9619436CA3,credit,credit,1,क्रेडिट,ACCEPTABLE_PREFERRED
R3A-6A1AF337B21B,opening,opening,0,opening,ACCEPTABLE_PREFERRED
R3A-1788E7D5D0A1,report,report,0,report,ACCEPTABLE_PREFERRED
R3A-4F0FB37A553F,rakhnu,rakhnu,0,rakhnu,ACCEPTABLE_PREFERRED
R3A-4F0FB37A553F,rakhnu,rakhnu,1,राख्नु,ACCEPTABLE_PREFERRED
R3A-910CA16A8201,voucher,voucher,0,voucher,ACCEPTABLE_PREFERRED
R3A-910CA16A8201,voucher,voucher,1,भाउचर,ACCEPTABLE_PREFERRED
R3A-BB51DD6E9ED0,susan,susan,0,susan,ACCEPTABLE_PREFERRED
R3A-DB48C68438C8,shyam,shyam,0,shyam,ACCEPTABLE_PREFERRED
R3A-DB48C68438C8,shyam,shyam,1,शयम,UNNATURAL_BUT_POSSIBLE
R3A-DB48C68438C8,shyam,shyam,2,श्याम,ACCEPTABLE_PREFERRED
R3A-E466FA9B2BF3,gross,gross,0,ग्रस,ACCEPTABLE_PREFERRED
R3A-E466FA9B2BF3,gross,gross,1,gross,ACCEPTABLE_PREFERRED
R3A-66F68104288C,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
R3A-229898769D5B,customer,customer,0,customer,ACCEPTABLE_PREFERRED
R3A-710A7D0167DC,dokaan,dokaan,0,dokaan,ACCEPTABLE_PREFERRED
R3A-710A7D0167DC,dokaan,dokaan,1,दुकान,ACCEPTABLE_PREFERRED
R3A-1955993A8F69,malai,malai,0,malai,ACCEPTABLE_PREFERRED
R3A-1955993A8F69,malai,malai,1,मलाई,ACCEPTABLE_PREFERRED
R3A-81797ACEEE9A,due,due,0,due,ACCEPTABLE_PREFERRED
R3A-81D90B95625F,bill,bill,0,बिल,ACCEPTABLE_PREFERRED
R3A-81D90B95625F,bill,bill,1,बइलल,UNNATURAL_BUT_POSSIBLE
R3A-81D90B95625F,bill,bill,2,bill,ACCEPTABLE_PREFERRED
R3A-A22962BC478A,ram dai aayo,ram,0,ram,ACCEPTABLE_PREFERRED
R3A-A22962BC478A,ram dai aayo,ram,1,राम,ACCEPTABLE_PREFERRED
R3A-F4643880A9BC,bank,bank,0,बैंक,ACCEPTABLE_PREFERRED
R3A-F4643880A9BC,bank,bank,1,बैङ्क,ACCEPTABLE_PREFERRED
R3A-F4643880A9BC,bank,bank,2,bank,ACCEPTABLE_PREFERRED
R3A-DBE3D2111C87,customer,customer,0,कस्टमर,ACCEPTABLE_PREFERRED
R3A-DBE3D2111C87,customer,customer,1,customer,ACCEPTABLE_PREFERRED
R3A-49A02088DC63,pokhara,pokhara,0,pokhara,ACCEPTABLE_PREFERRED
R3A-49A02088DC63,pokhara,pokhara,1,पोखरा,ACCEPTABLE_PREFERRED
R3A-6001D63FAD3E,sita,sita,0,सइत,UNNATURAL_BUT_POSSIBLE
R3A-6001D63FAD3E,sita,sita,1,sita,ACCEPTABLE_PREFERRED
R3A-6001D63FAD3E,sita,sita,2,सीता,ACCEPTABLE_PREFERRED
R3A-309B3CEE3117,qwerty,qwerty,0,qwerty,UNNATURAL_BUT_POSSIBLE
R3A-3D44EBBA4A60,tijori,tijori,0,तिजोरी,ACCEPTABLE_PREFERRED
R3A-3D44EBBA4A60,tijori,tijori,1,tijori,ACCEPTABLE_PREFERRED
R3A-19AF235F1D07,xaina,xaina,0,छैन,ACCEPTABLE_PREFERRED
R3A-19AF235F1D07,xaina,xaina,1,xaina,ACCEPTABLE_PREFERRED
R3A-48A9DED65168,anita,anita,0,अनिता,ACCEPTABLE_PREFERRED
R3A-48A9DED65168,anita,anita,1,anita,ACCEPTABLE_PREFERRED
R3A-46B32A27444A,profit,profit,0,profit,ACCEPTABLE_PREFERRED
R3A-46B32A27444A,profit,profit,1,प्रोफिट,ACCEPTABLE_PREFERRED
R3A-A2E3A7DCE3D0,rajeev,rajeev,0,राजीव,ACCEPTABLE_PREFERRED
R3A-A2E3A7DCE3D0,rajeev,rajeev,1,rajeev,ACCEPTABLE_PREFERRED
R3A-DEBF4EE37F6D,today,today,0,today,ACCEPTABLE_PREFERRED
R3A-46CD1830FE9D,closing,closing,0,closing,ACCEPTABLE_PREFERRED
R3A-03590AA81D78,closing,closing,0,closing,ACCEPTABLE_PREFERRED
R3A-03590AA81D78,closing,closing,1,क्लोजिङ,ACCEPTABLE_PREFERRED
R3A-44D26D6634B0,sales,sales,0,सेल्स,ACCEPTABLE_PREFERRED
R3A-44D26D6634B0,sales,sales,1,sales,ACCEPTABLE_PREFERRED
R3A-E6C27DD9EB4E,krishna,krishna,0,कृष्ण,ACCEPTABLE_PREFERRED
R3A-E6C27DD9EB4E,krishna,krishna,1,krishna,ACCEPTABLE_PREFERRED
R3A-89B7DB4A1A4A,for,for,0,for,ACCEPTABLE_PREFERRED
R3A-52168F6474CC,on,on,0,on,ACCEPTABLE_PREFERRED
R3A-5F4340339B0A,preeti,preeti,0,preeti,ACCEPTABLE_PREFERRED
R3A-5F4340339B0A,preeti,preeti,1,प्रीति,ACCEPTABLE_PREFERRED
R3A-844DB568325C,paani,paani,0,पानी,ACCEPTABLE_PREFERRED
R3A-844DB568325C,paani,paani,1,paani,ACCEPTABLE_PREFERRED
R3A-61C16981C721,thulo,thulo,0,ठूलो,ACCEPTABLE_PREFERRED
R3A-61C16981C721,thulo,thulo,1,thulo,ACCEPTABLE_PREFERRED
R3A-1FCB214AAFF8,was,was,0,was,ACCEPTABLE_PREFERRED
R3A-9ED02F13AB81,bank,bank,0,bank,ACCEPTABLE_PREFERRED
R3A-B21EA865A670,usko,usko,0,usko,ACCEPTABLE_PREFERRED
R3A-B21EA865A670,usko,usko,1,उसको,ACCEPTABLE_PREFERRED
R3A-2777FD563D44,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
R3A-92AFC696170A,gita,gita,0,गइत,UNNATURAL_BUT_POSSIBLE
R3A-92AFC696170A,gita,gita,1,गीता,ACCEPTABLE_PREFERRED
R3A-92AFC696170A,gita,gita,2,gita,ACCEPTABLE_PREFERRED
R3A-88C773037682,chaina,chaina,0,chaina,CANNOT_DECIDE
R3A-88C773037682,chaina,chaina,1,छैन,CANNOT_DECIDE
R3A-02AB46A9C72F,stock,stock,0,stock,ACCEPTABLE_PREFERRED
R3A-57E415379DE6,purchase,purchase,0,पर्चेज,ACCEPTABLE_PREFERRED
R3A-57E415379DE6,purchase,purchase,1,purchase,ACCEPTABLE_PREFERRED
R3A-96D266DDD445,in,in,0,in,ACCEPTABLE_PREFERRED
R3A-EB0C046F2CA3,krishna,krishna,0,कृष्ण,ACCEPTABLE_PREFERRED
R3A-EB0C046F2CA3,krishna,krishna,1,krishna,ACCEPTABLE_PREFERRED
R3A-C632964AAC91,john,john,0,john,ACCEPTABLE_PREFERRED
R3A-1B5DC8515B6B,byapar,byapar,0,व्यापार,ACCEPTABLE_PREFERRED
R3A-1B5DC8515B6B,byapar,byapar,1,byapar,ACCEPTABLE_PREFERRED
R3A-3C51844C067F,hajar,hajar,0,हजार,ACCEPTABLE_PREFERRED
R3A-3C51844C067F,hajar,hajar,1,hajar,ACCEPTABLE_PREFERRED
R3A-8C4F698FCD49,haru,haru,0,हरू,ACCEPTABLE_PREFERRED
R3A-8C4F698FCD49,haru,haru,1,haru,ACCEPTABLE_PREFERRED
R3A-AC9E3AA78D9B,nepal,nepal,0,nepal,ACCEPTABLE_PREFERRED
R3A-AC9E3AA78D9B,nepal,nepal,1,नेपाल,ACCEPTABLE_PREFERRED
R3A-7F4E9C760597,usle,usle,0,usle,ACCEPTABLE_PREFERRED
R3A-7F4E9C760597,usle,usle,1,उसले,ACCEPTABLE_PREFERRED
R3A-A3337AE882EF,bikriyat,bikriyat,0,बिक्रय,UNNATURAL_BUT_POSSIBLE
R3A-A3337AE882EF,bikriyat,bikriyat,1,bikriyat,UNNATURAL_BUT_POSSIBLE
R3A-473E29CACC82,party,party,0,party,ACCEPTABLE_PREFERRED
R3A-CD170900DCD2,my,my,0,my,ACCEPTABLE_PREFERRED
R3A-DDB46BE83E59,aaja,aaja,0,आज,ACCEPTABLE_PREFERRED
R3A-DDB46BE83E59,aaja,aaja,1,aaja,ACCEPTABLE_PREFERRED
R3A-6E81B0F59A7C,rupiya,rupiya,0,रुपैयाँ,ACCEPTABLE_PREFERRED
R3A-6E81B0F59A7C,rupiya,rupiya,1,rupiya,ACCEPTABLE_PREFERRED
R3A-E11303FC4AF9,yes,yes,0,yes,ACCEPTABLE_PREFERRED
R3A-A86B407317B4,ram dai aayo,ram,0,ram,ACCEPTABLE_PREFERRED
R3A-A86B407317B4,ram dai aayo,ram,1,राम,ACCEPTABLE_PREFERRED
R3A-69A9687F4AF6,jabaj,jabaj,0,jabaj,ACCEPTABLE_PREFERRED
R3A-69A9687F4AF6,jabaj,jabaj,1,जबाफ,UNNATURAL_BUT_POSSIBLE
R3A-F1423F7ECCBC,net,net,0,नएत,UNNATURAL_BUT_POSSIBLE
R3A-F1423F7ECCBC,net,net,1,नएट,UNNATURAL_BUT_POSSIBLE
R3A-F1423F7ECCBC,net,net,2,net,ACCEPTABLE_PREFERRED
R3A-F1423F7ECCBC,net,net,3,नेट,ACCEPTABLE_PREFERRED
R3A-91DE04624709,you,you,0,you,ACCEPTABLE_PREFERRED
R3A-ACB9FB792070,sita,sita,0,sita,ACCEPTABLE_PREFERRED
R3A-ACB9FB792070,sita,sita,1,सीता,ACCEPTABLE_PREFERRED
R3A-ACB9FB792070,sita,sita,2,सइत,UNNATURAL_BUT_POSSIBLE
R3A-626435F340E3,znxg,znxg,0,znxg,UNNATURAL_BUT_POSSIBLE
R3A-85EA52AECC70,opening,opening,0,opening,ACCEPTABLE_PREFERRED
R3A-85EA52AECC70,opening,opening,1,ओपनिङ,ACCEPTABLE_PREFERRED
R3A-ABF06A06C71E,hari,hari,0,hari,ACCEPTABLE_PREFERRED
R3A-ABF06A06C71E,hari,hari,1,हृ,UNNATURAL_BUT_POSSIBLE
R3A-ABF06A06C71E,hari,hari,2,हरि,ACCEPTABLE_PREFERRED
R3A-FA58072CA297,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
R3A-1A54988625B4,bill,bill,0,bill,UNNATURAL_BUT_POSSIBLE
R3A-FBD090E9B85F,foobar,foobar,0,foobar,UNNATURAL_BUT_POSSIBLE
R3A-EAE133036C15,cheque,cheque,0,चेक,ACCEPTABLE_PREFERRED
R3A-EAE133036C15,cheque,cheque,1,cheque,ACCEPTABLE_PREFERRED
R3A-9ECEADADD41F,ram,ram,0,राम,ACCEPTABLE_PREFERRED
R3A-9ECEADADD41F,ram,ram,1,ram,ACCEPTABLE_PREFERRED
R3A-9ECEADADD41F,ram,ram,2,रम,ACCEPTABLE_PREFERRED
R3A-6B5C3F4B79C1,nau,nau,0,nau,ACCEPTABLE_PREFERRED
R3A-6B5C3F4B79C1,nau,nau,1,नौ,ACCEPTABLE_PREFERRED
R3A-A5AB853CA40E,to,to,0,to,ACCEPTABLE_PREFERRED
R3A-8BA19C672CD8,blorp,blorp,0,blorp,CANNOT_DECIDE
R3A-3A26ACACC361,were,were,0,were,ACCEPTABLE_PREFERRED
R3A-D93DC8E227F5,tax,tax,0,कर,ACCEPTABLE_PREFERRED
R3A-D93DC8E227F5,tax,tax,1,tax,ACCEPTABLE_PREFERRED
R3A-D93DC8E227F5,tax,tax,2,ट्याक्स,ACCEPTABLE_PREFERRED
R3A-ECF297173878,shyam,shyam,0,श्याम,ACCEPTABLE_PREFERRED
R3A-ECF297173878,shyam,shyam,1,shyam,ACCEPTABLE_PREFERRED
R3A-ECF297173878,shyam,shyam,2,शयम,UNNATURAL_BUT_POSSIBLE
R3A-6F62469204B0,saya,saya,0,सय,ACCEPTABLE_PREFERRED
R3A-6F62469204B0,saya,saya,1,saya,ACCEPTABLE_PREFERRED
R3A-BF4FDB7BF4E3,payment,payment,0,payment,ACCEPTABLE_PREFERRED
R3A-BF4FDB7BF4E3,payment,payment,1,पेमेन्ट,ACCEPTABLE_PREFERRED
R3A-AD5C57F911FF,qwerty,qwerty,0,qwerty,UNNATURAL_BUT_POSSIBLE
R3A-9FB89CF5EB2E,sale,sale,0,sale,ACCEPTABLE_PREFERRED
R3A-9FB89CF5EB2E,sale,sale,1,बिक्री,ACCEPTABLE_PREFERRED
R3A-9FB89CF5EB2E,sale,sale,2,सलए,UNNATURAL_BUT_POSSIBLE
R3A-9FB89CF5EB2E,sale,sale,3,सेल,ACCEPTABLE_PREFERRED
R3A-5AB19BC3D6C1,tomorrow,tomorrow,0,tomorrow,ACCEPTABLE_PREFERRED
R3A-A2958A737E24,xyzzy,xyzzy,0,xyzzy,UNNATURAL_BUT_POSSIBLE
