review_id,input_text,highlighted_span,span_class,preferred_rank_policy,devanagari_retention,confidence,reasoning
R3A-87A3E123EEB2,hari,hari,,,,,
R3A-3D948BB91CB2,commission,commission,,,,,
R3A-0F7FBD8EB910,party,party,,,,,
R3A-4B43CD1650FC,ghata,ghata,,,,,
R3A-473762AA5C8F,bholi,bholi,,,,,
R3A-91E0F15B74E7,receipt,receipt,,,,,
R3A-81E39CBCED53,ok,ok,,,,,
R3A-D741A2C87671,plan,plan,,,,,
R3A-AB46E3F8600E,net,net,,,,,
R3A-7874572285AD,discount,discount,,,,,
R3A-825BB747601C,please,please,,,,,
R3A-D41A31C71C46,stock,stock,,,,,
R3A-A547FA55FAA3,kine,kine,,,,,
R3A-59A86236B8E1,rajeev,rajeev,,,,,
R3A-D7ABD644B593,ram dai aayo,ram,,,,,
R3A-CBAC4A22C534,ram dai aayo,ram,,,,,
R3A-BD31D1068C43,pcs,pcs,,,,,
R3A-C79C78C6A996,lai,lai,,,,,
R3A-F5CF1B72BF07,blorp,blorp,,,,,
R3A-0179AF09253F,qwerty,qwerty,,,,,
R3A-35D8AB1646F4,cash,cash,,,,,
R3A-9F9619436CA3,credit,credit,,,,,
R3A-6A1AF337B21B,opening,opening,,,,,
R3A-1788E7D5D0A1,report,report,,,,,
R3A-4F0FB37A553F,rakhnu,rakhnu,,,,,
R3A-910CA16A8201,voucher,voucher,,,,,
R3A-BB51DD6E9ED0,susan,susan,,,,,
R3A-DB48C68438C8,shyam,shyam,,,,,
R3A-E466FA9B2BF3,gross,gross,,,,,
R3A-66F68104288C,xyzzy,xyzzy,,,,,
R3A-229898769D5B,customer,customer,,,,,
R3A-710A7D0167DC,dokaan,dokaan,,,,,
R3A-1955993A8F69,malai,malai,,,,,
R3A-81797ACEEE9A,due,due,,,,,
R3A-81D90B95625F,bill,bill,,,,,
R3A-A22962BC478A,ram dai aayo,ram,,,,,
R3A-F4643880A9BC,bank,bank,,,,,
R3A-DBE3D2111C87,customer,customer,,,,,
R3A-49A02088DC63,pokhara,pokhara,,,,,
R3A-6001D63FAD3E,sita,sita,,,,,
R3A-309B3CEE3117,qwerty,qwerty,,,,,
R3A-3D44EBBA4A60,tijori,tijori,,,,,
R3A-19AF235F1D07,xaina,xaina,,,,,
R3A-48A9DED65168,anita,anita,,,,,
R3A-46B32A27444A,profit,profit,,,,,
R3A-A2E3A7DCE3D0,rajeev,rajeev,,,,,
R3A-DEBF4EE37F6D,today,today,,,,,
R3A-46CD1830FE9D,closing,closing,,,,,
R3A-03590AA81D78,closing,closing,,,,,
R3A-44D26D6634B0,sales,sales,,,,,
R3A-E6C27DD9EB4E,krishna,krishna,,,,,
R3A-89B7DB4A1A4A,for,for,,,,,
R3A-52168F6474CC,on,on,,,,,
R3A-5F4340339B0A,preeti,preeti,,,,,
R3A-844DB568325C,paani,paani,,,,,
R3A-61C16981C721,thulo,thulo,,,,,
R3A-1FCB214AAFF8,was,was,,,,,
R3A-9ED02F13AB81,bank,bank,,,,,
R3A-B21EA865A670,usko,usko,,,,,
R3A-2777FD563D44,xyzzy,xyzzy,,,,,
R3A-92AFC696170A,gita,gita,,,,,
R3A-88C773037682,chaina,chaina,,,,,
R3A-02AB46A9C72F,stock,stock,,,,,
R3A-57E415379DE6,purchase,purchase,,,,,
R3A-96D266DDD445,in,in,,,,,
R3A-EB0C046F2CA3,krishna,krishna,,,,,
R3A-C632964AAC91,john,john,,,,,
R3A-1B5DC8515B6B,byapar,byapar,,,,,
R3A-3C51844C067F,hajar,hajar,,,,,
R3A-8C4F698FCD49,haru,haru,,,,,
R3A-AC9E3AA78D9B,nepal,nepal,,,,,
R3A-7F4E9C760597,usle,usle,,,,,
R3A-A3337AE882EF,bikriyat,bikriyat,,,,,
R3A-473E29CACC82,party,party,,,,,
R3A-CD170900DCD2,my,my,,,,,
R3A-DDB46BE83E59,aaja,aaja,,,,,
R3A-6E81B0F59A7C,rupiya,rupiya,,,,,
R3A-E11303FC4AF9,yes,yes,,,,,
R3A-A86B407317B4,ram dai aayo,ram,,,,,
R3A-69A9687F4AF6,jabaj,jabaj,,,,,
R3A-F1423F7ECCBC,net,net,,,,,
R3A-91DE04624709,you,you,,,,,
R3A-ACB9FB792070,sita,sita,,,,,
R3A-626435F340E3,znxg,znxg,,,,,
R3A-85EA52AECC70,opening,opening,,,,,
R3A-ABF06A06C71E,hari,hari,,,,,
R3A-FA58072CA297,xyzzy,xyzzy,,,,,
R3A-1A54988625B4,bill,bill,,,,,
R3A-FBD090E9B85F,foobar,foobar,,,,,
R3A-EAE133036C15,cheque,cheque,,,,,
R3A-9ECEADADD41F,ram,ram,,,,,
R3A-6B5C3F4B79C1,nau,nau,,,,,
R3A-A5AB853CA40E,to,to,,,,,
R3A-8BA19C672CD8,blorp,blorp,,,,,
R3A-3A26ACACC361,were,were,,,,,
R3A-D93DC8E227F5,tax,tax,,,,,
R3A-ECF297173878,shyam,shyam,,,,,
R3A-6F62469204B0,saya,saya,,,,,
R3A-BF4FDB7BF4E3,payment,payment,,,,,
R3A-AD5C57F911FF,qwerty,qwerty,,,,,
R3A-9FB89CF5EB2E,sale,sale,,,,,
R3A-5AB19BC3D6C1,tomorrow,tomorrow,,,,,
R3A-A2958A737E24,xyzzy,xyzzy,,,,,
