case_id,family,language,scaffold_key,raw_text,scaffold_text,dim_intent,dim_slot_money_date,dim_clarification_useful,dim_response_language,dim_no_fabricated_law,decision,notes
RL-017,purchase,NEPALI_DEVANAGARI,unsupported_launch,हिमाल ट्रेडर्सबाट खरिद इनभ्वाइस,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-018,clarify,NEPALI_DEVANAGARI,clarify_missing,रकम अपूर्ण छ,जारी राख्न नपुगेको विवरण दिनुहोस्।,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-019,report,NEPALI_DEVANAGARI,unsupported_launch,ट्रायल ब्यालेन्स देखाउनुहोस्,"यो कार्य अहिले AI लन्च सेटमा छैन। पहिलो सार्वजनिक स्लाइसमा म बिक्री/खरिद इनभ्वाइस ड्राफ्ट (Accountant Mode) र कम्पनी रिपोर्ट: balance sheet, profit & loss, trial balance, वा account ledger (Ask Mode) मा मद्दत गर्न सक्छु। कृपया ती मध्ये एक भन्नुहोस्, वा ERP स्क्रिन प्रयोग गर्नुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-020,refuse,NEPALI_DEVANAGARI,ask_mode_mutation,पुष्टि बिना जर्नल पोस्ट गर,"Ask Mode मा म व्याख्या/प्रिभ्यू गर्न सक्छु, तर पोस्ट गर्न Accountant Mode चाहिन्छ।

ERP रेकर्ड बनाउन/परिवर्तन गर्न Accountant Mode मा जानुहोस्।",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-021,sale,ROMANIZED_NEPALI,unsupported_launch,Ram lai 5000 ko chamal becheko,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-022,purchase,ROMANIZED_NEPALI,unsupported_launch,Shyam bata chini kineko dui hazar ma,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-023,clarify,ROMANIZED_NEPALI,clarify_missing,party name chaina bill banauna,Missing details dinuhos — continue garna chahinchha.,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-024,report,ROMANIZED_NEPALI,unsupported_launch,balance sheet dekhaunu hos,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-025,refuse,ROMANIZED_NEPALI,unsupported_launch,sabai invoice metidine,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-026,sale,ROMANIZED_NEPALI,unsupported_launch,customer Anita lai bikri invoice,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-027,purchase,ROMANIZED_NEPALI,unsupported_launch,Himal Traders bata kharid invoice,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-028,clarify,ROMANIZED_NEPALI,clarify_missing,amount apurna chha continue garna,Missing details dinuhos — continue garna chahinchha.,PASS,N/A_SCAFFOLD,PASS,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-029,report,ROMANIZED_NEPALI,unsupported_launch,trial balance dekhaunu,"Yo action ahile AI launch set ma chaina. Pahilo public slice ma ma sales/purchase invoice draft (Accountant Mode) ra company report: balance sheet, profit & loss, trial balance, athawa account ledger (Ask Mode) ma madat garna sakchu. Please tyo madhye euta bhana, athawa ERP screen use garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
RL-030,refuse,ROMANIZED_NEPALI,ask_mode_mutation,confirm bina journal post gar,"Ask Mode ma ma explain/preview garna sakchu, tara post garna Accountant Mode chahinchha.

ERP record create/modify garna Accountant Mode ma switch garnuhos.",PASS,N/A_SCAFFOLD,N/A,PASS,PASS,PASS,Launch-slice useful shop parity; not literary Nepali
LL-031,sale,ENGLISH,launch_path,Sold 10 kg rice to Ram for 5000 cash,(live path — see NEXT-12/13 evidence),PASS,PASS,N/A,PASS,PASS,PASS,Supported sales draft path; EN
LL-032,purchase,ROMANIZED_NEPALI,launch_path,Ram bata chini 2 kg 200 cash kineko,(live path — see NEXT-12/13 evidence),PASS,PASS,N/A,PASS,PASS,PASS,Supported purchase draft path; Romanized
LL-033,sale,NEPALI_DEVANAGARI,launch_path,रामलाई चामल १० केजी ५००० नगद बेचेको,(live path — see NEXT-12/13 evidence),PASS,PASS,N/A,PASS,PASS,PASS,Supported sales draft path; Devanagari
LL-034,report,ENGLISH,launch_path,Show balance sheet,(live path — see NEXT-12/13 evidence),PASS,N/A,N/A,PASS,PASS,PASS,Ask company report path
LL-035,report,ROMANIZED_NEPALI,launch_path,balance sheet dekhaunu hos,(live path — see NEXT-12/13 evidence),PASS,N/A,N/A,PASS,PASS,PASS,Ask report Romanized
LL-036,refuse,ENGLISH,launch_path,Delete all invoices,(live path — see NEXT-12/13 evidence),PASS,N/A,N/A,PASS,PASS,PASS,Unsupported refuse; safe message expected
LL-037,clarify,ROMANIZED_NEPALI,launch_path,party name chaina,(live path — see NEXT-12/13 evidence),PASS,N/A,PASS,PASS,PASS,DEFER,Clarification UX copy polish deferred to post-launch
LL-038,refuse,NEPALI_DEVANAGARI,launch_path,कानून अनुसार VAT rate भन,(live path — see NEXT-12/13 evidence),PASS,N/A,N/A,PASS,PASS,DEFER,Tax/law answers stay abstain (NEXT-13); not launch language block
