priority_rank,priority_hits,machine_suggested_decision,machine_suggestion_rationale,review_id,source_file_id,record_id,domain,language_form,raw_input,intent,operation_class,execution_allowed,quality_score,safety_correct,language_naturalness,intent_correct,accounting_correct,review_decision,review_status,reviewer_notes,reviewer_name,reviewed_at
15,"security,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00223,0023,GOLD.SEC.000010,SECURITY,romanized_nepali,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,['none'],,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
16,"period,accounting",defer,Insufficient signals; defer to human,HR-00030,0054,ADV.PERIOD.00001,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
17,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00047,0039,CONN-CAUSE-000028,,romanized_nepali,"payment bhayena, karan period closed cha",,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
18,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00048,0039,CONN-CAUSE-000029,,romanized_nepali,post bhayena kinabhane period closed cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
19,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00049,0039,CONN-CAUSE-000030,,romanized_nepali,period closed cha tyasaile post bhayena,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
20,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00050,0039,CONN-CAUSE-000032,,romanized_nepali,"post bhayena, karan period closed cha",,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
21,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00051,0039,CONN-CAUSE-000033,,romanized_nepali,invoice banaena kinabhane period closed cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
22,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00052,0039,CONN-CAUSE-000037,,romanized_nepali,report aayena kinabhane period closed cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
23,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00053,0039,CONN-CAUSE-000041,,romanized_nepali,reconcile bhayena kinabhane period closed cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
24,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00064,0039,CONN-COND-000101,,romanized_nepali,period open cha bhane post gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
25,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00065,0039,CONN-COND-000104,,romanized_nepali,period open cha bhayepachi matra post gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
26,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00066,0039,CONN-COND-000108,,romanized_nepali,period open cha bhayepachi matra save gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
27,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00067,0039,CONN-COND-000114,,romanized_nepali,yadi period open cha bhane invoice bana,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
28,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00068,0039,CONN-COND-000124,,romanized_nepali,period open cha bhayepachi matra reconcile gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
29,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00069,0039,CONN-COND-000125,,romanized_nepali,period open cha bhane close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
30,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00085,0039,CONN-CONT-000082,,romanized_nepali,period open cha bhaye pani payment nagara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
31,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00086,0039,CONN-CONT-000083,,romanized_nepali,"yadyapi period open cha, taipani payment nagara",,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
32,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00087,0039,CONN-TEMP-000021,,romanized_nepali,customer select gara pachi period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
33,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00088,0039,CONN-TEMP-000024,,romanized_nepali,customer select gara nagari period close gara nagara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
34,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00089,0039,CONN-TEMP-000051,,romanized_nepali,invoice save gara pachi period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
35,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00090,0039,CONN-TEMP-000082,,romanized_nepali,voucher approve gara aghi period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
36,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00091,0039,CONN-TEMP-000142,,romanized_nepali,bank match gara aghi period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
37,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00092,0039,CONN-TEMP-000171,,romanized_nepali,amount validate gara pachi period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
38,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00093,0039,CONN-TEMP-000174,,romanized_nepali,amount validate gara nagari period close gara nagara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
39,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00094,0039,CONN-TEMP-000175,,romanized_nepali,amount validate gara bhayepachi matra period close gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
40,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00231,0037,LEX-COLL-ADJN-000206,,romanized_nepali,draft period,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
41,"period,accounting",defer,Structural safety OK; language/intent still need human judgment,HR-00232,0037,LEX-COLL-STATE-000077,,romanized_nepali,closed period,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
42,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00079,0039,CONN-COND-000202,,romanized_nepali,yadi VAT applicable cha bhane save gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
43,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00080,0039,CONN-COND-000205,,romanized_nepali,VAT applicable cha bhane payment gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
44,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00081,0039,CONN-COND-000206,,romanized_nepali,yadi VAT applicable cha bhane payment gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
45,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00082,0039,CONN-COND-000207,,romanized_nepali,VAT applicable cha nabhaye payment gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
46,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00083,0039,CONN-COND-000211,,romanized_nepali,VAT applicable cha nabhaye invoice bana,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
47,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00101,0025,CS-NUM-004,,romanized_nepali,13% VAT,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
48,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00124,0025,CS-TXN-0016,,romanized_nepali,TDS deduct gara,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
49,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00365,0036,MIX-PROT-0015,,romanized_nepali,VAT-123456789,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
50,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00531,0032,NUM-ERP-010,,romanized_nepali,TDS 1.5%,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
51,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00546,0032,NUM-PROT-007,,romanized_nepali,VAT 123456789,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
52,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00587,0031,Q-DEF-007,,romanized_nepali,TDS k ho,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
53,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00588,0031,Q-EXT-000138,,romanized_nepali,VAT kati,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
54,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00589,0031,Q-EXT-000144,,romanized_nepali,VAT ho?,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
55,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00590,0031,Q-EXT-000149,,romanized_nepali,TDS kina,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
56,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00591,0031,Q-EXT-000152,,romanized_nepali,TDS ho?,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
57,"vat,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00595,0031,Q-GEN-000208,,romanized_nepali,VAT kaha cha,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
58,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00596,0031,Q-PROC-010,,romanized_nepali,TDS entry kasari garne,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
59,"tds,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00597,0031,Q-YN-0012,,romanized_nepali,TDS katnu parcha?,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
60,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00035,0060,ADV.TAX.00001,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
61,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00343,0019,LEX-ROM-HF-000222,tax,mixed,,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
62,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00351,0024,LID-LATIN-00021,,romanized_nepali,tax,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
63,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00366,0036,MIX-TAX-007,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
64,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00367,0036,MIX-TAX-028,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
65,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00380,0034,NAME-TAX-007,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
66,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00381,0034,NAME-TAX-014,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
67,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00382,0034,NAME-TAX-023,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
68,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00383,0034,NAME-TAX-025,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
69,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00384,0034,NAME-TAX-031,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
70,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00404,0030,NEG-TAX-016,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
71,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00405,0030,NEG-TAX-024,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
72,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00406,0030,NEG-TAX-025,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
73,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00407,0030,NEG-TAX-030,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
74,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00408,0030,NEG-TAX-031,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
75,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00657,0029,REF-TAX-006,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
76,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00658,0029,REF-TAX-013,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
77,"tax,accounting",needs_clarification,Statutory/payroll/tax — human mandatory,HR-00659,0029,REF-TAX-017,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
78,"banking,accounting",defer,Insufficient signals; defer to human,HR-00361,0079,MIG-PARALLEL-00016851,BANKING,romanized_nepali,,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
79,accounting,defer,Insufficient signals; defer to human,HR-00001,0045,ADV-NEGSCOPE-0007762,,romanized_nepali,,,,False,0.8875,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
80,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00893,0023,ADV.000003,COMPOSITE,romanized_nepali,INV001ko,['none'],,False,1.0,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
81,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00894,0023,ADV.000007,COMPOSITE,romanized_nepali,kkkk,['none'],,False,1.0,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
82,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00895,0023,ADV.000008,COMPOSITE,romanized_nepali,grngr,['none'],,False,1.0,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
83,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00896,0023,ADV.000012,COMPOSITE,romanized_nepali,post-na-gara,['none'],,False,1.0,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
84,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00897,0023,ADV.000013,COMPOSITE,romanized_nepali,nagaraINV001,['none'],,False,1.0,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
85,accounting,defer,Structural safety OK; language/intent still need human judgment,HR-00002,0035,ADV.ABBR.00001,,romanized_nepali,DRCRPVJV,,,False,0.925,pass_structural,,,,,pending_human_after_machine_precheck,[machine 2026-07-14T06:11:56+00:00] execution_allowed=false; language/accounting fields left for human reviewer,,
