review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-221643eb53cb,review shared surface receipt in mixed shop note before close,receipt,,,,,,
V3R-223cf9f5fe49,Please update the search field in the English settings panel,search,,,,,,
V3R-224954a7782c,check box once before posting — context unclear,box,,,,,,
V3R-22587146285a,yo timro last week ko ho,timro,,,,,,
V3R-2269905037b7,Customer Roshan Dhakal paid by bank transfer yesterday (name case 47),Roshan,,,,,,
V3R-22a6c0dc028e,aaja guarantee ko hisab milaaidim ra baaki clear gara,guarantee,,,,,,
V3R-22a7cf695569,check miss once before posting — context unclear,miss,,,,,,
V3R-22c79d2a988e,please kiraya update gardinu,kiraya,,,,,,
V3R-231ccebf019e,Do not mutate protected token TXN-SYN-778899-R054 inside the posting draft case 54 (synthetic transaction token),TXN-SYN-778899-R054,,,,,,
V3R-231f4a31b582,aaja mode ko hisab milaaidim ra baaki clear gara,mode,,,,,,
V3R-23f61ec5b916,please udharo update gardinu,udharo,,,,,,
V3R-23fc31dc0201,Enter Q1 code in the tax panel without Devanagari rewrite (acr case 8),Q1,,,,,,
V3R-2446f8cf8aaf,bholi samma aamdani baaki clear garnu,aamdani,,,,,,
V3R-245caec23ceb,Please update the type field in the English settings panel,type,,,,,,
V3R-24638fe8c899,Do not mutate protected token INV-SYN-9001-R043 inside the posting draft case 43 (synthetic invoice token),INV-SYN-9001-R043,,,,,,
V3R-24aaca9cb465,Create a draft warranty and leave it unposted,warranty,,,,,,
V3R-2502421699d7,Please update the draft field in the English settings panel,draft,,,,,,
V3R-25276347053b,aaja condition ko hisab milaaidim ra baaki clear gara,condition,,,,,,
V3R-258afbed5395,check menu once before posting — context unclear,menu,,,,,,
V3R-25ea7f7824bf,The markup status must remain pending until confirm,markup,,,,,,
V3R-26159bb7299d,branch ledger: GST entry ra noksan baaki milaaune,GST,,,,,,
V3R-268392e2efc2,alignment challenge 23: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-2754a940e314,Keep tcs as Latin identity for the ERP toolbar label,tcs,,,,,,
V3R-2773aab050b8,malik ji hapta report pathaunuhos,hapta,,,,,,
V3R-27f9572d9d8b,check policy once before posting — context unclear,policy,,,,,,
V3R-28085da3b135,aaja peak ko hisab milaaidim ra baaki clear gara,peak,,,,,,
V3R-2888efe2391c,yo chhaina last week ko ho,chhaina,,,,,,
V3R-28a50a840b73,aaja warranty ko hisab milaaidim ra baaki clear gara,warranty,,,,,,
V3R-28aabd48679c,Please update the floor field in the English settings panel,floor,,,,,,
V3R-28c180d91c3b,aaja draft ko hisab milaaidim ra baaki clear gara,draft,,,,,,
V3R-28da7122715f,check calendar once before posting — context unclear,calendar,,,,,,
V3R-293922a0239c,branch ledger: manager entry ra chhaina baaki milaaune,chhaina,,,,,,
V3R-294c76c413f9,Do not mutate protected token IMEI-356938035643809-R008 inside the posting draft case 8 (synthetic device id),IMEI-356938035643809-R008,,,,,,
V3R-294cd4a6e1df,aaja status ko hisab milaaidim ra baaki clear gara,status,,,,,,
V3R-295453d252de,yo mahina last week ko ho,mahina,,,,,,
V3R-29add8b14711,please malai update gardinu,malai,,,,,,
V3R-2a3978867185,Please update the edge field in the English settings panel,edge,,,,,,
V3R-2b419c09184e,Please update the box field in the English settings panel,box,,,,,,
V3R-2b594dd530d2,check access once before posting — context unclear,access,,,,,,
V3R-2b9d16d74247,aaja flag ko hisab milaaidim ra baaki clear gara,flag,,,,,,
V3R-2c368b7b97bf,check graph once before posting — context unclear,graph,,,,,,
V3R-2c455bbdf665,Please update the set field in the English settings panel,set,,,,,,
V3R-2c466d729be6,Do not mutate protected token URL-https://example.test/eval/v3-R086 inside the posting draft case 86 (synthetic url token),URL-https://example.test/eval/v3-R086,,,,,,
V3R-2cb8dee86d1f,Please open the export module and export the report,export,,,,,,
V3R-2cd924bc9fc4,check page once before posting — context unclear,page,,,,,,
V3R-2d5a4360610c,Please update the download field in the English settings panel,download,,,,,,
V3R-2d5b3a835d40,review shared surface voucher in mixed shop note before close,voucher,,,,,,
V3R-2d739f048bbc,aaja return ko hisab milaaidim ra baaki clear gara,return,,,,,,
V3R-2d8ee788fb52,Sync failed for credit queue — retry after backup,credit,,,,,,
V3R-2d98bc94809e,Please update the stamp field in the English settings panel,stamp,,,,,,
V3R-2dd813a5a29e,aaja column ko hisab milaaidim ra baaki clear gara,column,,,,,,
V3R-2eb65a9f3910,grahak le chha bare sodheko cha,chha,,,,,,
V3R-2f11cb3148f2,alignment challenge 0: keep surface [café] intact (combining acute),café,,,,,,
V3R-2f2f2de825a9,branch ledger: VAT entry ra aamdani baaki milaaune,VAT,,,,,,
V3R-2f523a315450,Customer Anita Gurung paid by bank transfer yesterday (name case 5),Anita,,,,,,
V3R-2f73432f6b97,aaja spread ko hisab milaaidim ra baaki clear gara,spread,,,,,,
V3R-2f7c00351fdc,Enter Q3 code in the tax panel without Devanagari rewrite (acr case 10),Q3,,,,,,
V3R-3004b5faf6fa,Do not mutate protected token MOB-9800000001-R001 inside the posting draft case 1 (synthetic mobile token),MOB-9800000001-R001,,,,,,
V3R-305af9efafeb,check table once before posting — context unclear,table,,,,,,
V3R-308685b19d27,hijo ko order entry check gara,order,,,,,,
V3R-30ac78145a09,Please update the sign field in the English settings panel,sign,,,,,,
V3R-30ca3140fadf,check copy once before posting — context unclear,copy,,,,,,
V3R-30d4b4e1744a,Filter by sales then print the ledger summary,sales,,,,,,
V3R-31b3503ca4af,Please update the clause field in the English settings panel,clause,,,,,,
V3R-31caed91bdeb,yo thorai last week ko ho,thorai,,,,,,
V3R-31d9b9900eda,alignment challenge 5: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-3207fd33307f,alignment challenge 6: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-3276dcdaca93,aaja charge ko hisab milaaidim ra baaki clear gara,charge,,,,,,
V3R-32a2833edade,grahak le transfer bare sodheko cha,transfer,,,,,,
V3R-32e3ac2dc304,Please update the entry field in the English settings panel,entry,,,,,,
V3R-32eb37807718,Accounting staff asked about penalty settings in Ask MokXya,penalty,,,,,,
V3R-332d86a9ac58,check result once before posting — context unclear,result,,,,,,
V3R-3348757a3a62,aaja token ko hisab milaaidim ra baaki clear gara,token,,,,,,
V3R-335e032d7b26,Please update the rule field in the English settings panel,rule,,,,,,
V3R-3360fff2fb66,Keep journal as Latin identity for the ERP toolbar label,journal,,,,,,
V3R-3363cda2ce56,Customer Sarita Bhandari paid by bank transfer yesterday (name case 13),Sarita,,,,,,
V3R-33c2b0838677,malik ji aamdani report pathaunuhos,aamdani,,,,,,
V3R-33d26b4b2580,hijo ko haina entry check gara,haina,,,,,,
V3R-33e5c53f340e,maybe bag means English UI or Romanized Nepali — reviewer must decide (case 22),bag,,,,,,
V3R-3414029b6ce0,maybe lock means English UI or Romanized Nepali — reviewer must decide (case 36),lock,,,,,,
V3R-345e52d0d2d1,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R017 inside the posting draft case 17 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R017,,,,,,
V3R-346e1ae0be5e,Do not mutate protected token MOB-9800000001-R091 inside the posting draft case 91 (synthetic mobile token),MOB-9800000001-R091,,,,,,
V3R-3494b18b4cb6,branch ledger: discount entry ra pathau baaki milaaune,pathau,,,,,,
V3R-34a61edacc60,Please update the mode field in the English settings panel,mode,,,,,,
V3R-34e0db81eae2,grahak le sano bare sodheko cha,sano,,,,,,
V3R-356eaf16326d,Enter GL code in the tax panel without Devanagari rewrite (acr case 26),GL,,,,,,
V3R-35fd843ff861,Enter Q2 code in the tax panel without Devanagari rewrite (acr case 9),Q2,,,,,,
V3R-36258cfe7e1b,Keep rebate as Latin identity for the ERP toolbar label,rebate,,,,,,
V3R-365f37ba0f59,Do not mutate protected token TXN-SYN-778899-R094 inside the posting draft case 94 (synthetic transaction token),TXN-SYN-778899-R094,,,,,,
V3R-369589a9d545,aaja choice ko hisab milaaidim ra baaki clear gara,choice,,,,,,
V3R-36c48143b76c,Keep restore as Latin identity for the ERP toolbar label,restore,,,,,,
V3R-36ce8dfb9b22,Please update the book field in the English settings panel,book,,,,,,
V3R-36f0ea31af36,Sync failed for variance queue — retry after backup,variance,,,,,,
V3R-374fd093d933,branch ledger: void entry ra timro baaki milaaune,timro,,,,,,
V3R-3769aac55f5b,check match once before posting — context unclear,match,,,,,,
V3R-3792bfd38feb,aaja lock ko hisab milaaidim ra baaki clear gara,lock,,,,,,
V3R-37ed8498a06e,check warranty once before posting — context unclear,warranty,,,,,,
V3R-38193ae04fe1,Please update the cell field in the English settings panel,cell,,,,,,
V3R-383545c787e2,Customer Ram Bahadur paid by bank transfer yesterday (name case 25),Ram,,,,,,
V3R-3902b7d9b552,Please update the bill field in the English settings panel,bill,,,,,,
V3R-390a38fbfa7c,branch ledger: office entry ra thiyo baaki milaaune,thiyo,,,,,,
V3R-3924d1d58880,branch ledger: quarter entry ra usko baaki milaaune,usko,,,,,,
V3R-392aa723ddc6,please pasal update gardinu,pasal,,,,,,
V3R-39554cdeeb3b,alignment challenge 4: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-399b4bcbedbc,Do not mutate protected token URL-https://example.test/eval/v3-R056 inside the posting draft case 56 (synthetic url token),URL-https://example.test/eval/v3-R056,,,,,,
V3R-399ef3e5a545,Do not mutate protected token IMEI-356938035643809-R018 inside the posting draft case 18 (synthetic device id),IMEI-356938035643809-R018,,,,,,
V3R-39e35cd5a660,grahak le ani bare sodheko cha,ani,,,,,,
V3R-3a7ec58bb159,check folder once before posting — context unclear,folder,,,,,,
V3R-3af8cb5cff67,please hapta update gardinu,hapta,,,,,,
V3R-3b140c4a03a6,alignment challenge 16: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-3b81b3060185,hijo ko kehi entry check gara,kehi,,,,,,
V3R-3bb19a773b33,Customer Sarita Bhandari paid by bank transfer yesterday (name case 38),Sarita,,,,,,
V3R-3bd39d070b75,Please update the catalogue field in the English settings panel,catalogue,,,,,,
V3R-3bf8cf8b5e7c,malik ji tapai report pathaunuhos,tapai,,,,,,
V3R-3c0ead5089ef,alignment challenge 8: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-3c1be30bcc5b,Do not transliterate the word audit in this English sentence,audit,,,,,,
V3R-3cd87dd21a75,Keep so as Latin identity for the ERP toolbar label,so,,,,,,
V3R-3d22851b1492,alignment challenge 41: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-3dc4ed5975df,alignment challenge 2: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-3dd2dea1d705,hijo ko thaha entry check gara,thaha,,,,,,
V3R-3de0b0e616f2,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R077 inside the posting draft case 77 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R077,,,,,,
V3R-3e27ee08e6b9,maybe card means English UI or Romanized Nepali — reviewer must decide (case 8),card,,,,,,
V3R-3e9843841a50,aaja upload ko hisab milaaidim ra baaki clear gara,upload,,,,,,
V3R-3e9ee281bfe8,branch ledger: template entry ra kehi baaki milaaune,kehi,,,,,,
V3R-3f4198c2ca36,Keep budget as Latin identity for the ERP toolbar label,budget,,,,,,
V3R-3f5fe3427129,aaja right ko hisab milaaidim ra baaki clear gara,right,,,,,,
V3R-3fd708447c13,maybe check means English UI or Romanized Nepali — reviewer must decide (case 19),check,,,,,,
V3R-4012fb92cfe0,branch ledger: report entry ra gayo baaki milaaune,report,,,,,,
V3R-40876345e730,branch ledger: journal entry ra beluka baaki milaaune,journal,,,,,,
V3R-409449640198,Enter PL code in the tax panel without Devanagari rewrite (acr case 29),PL,,,,,,
V3R-41131f7aadc6,bholi samma ramro baaki clear garnu,ramro,,,,,,
V3R-41230f176e62,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R037 inside the posting draft case 37 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R037,,,,,,
V3R-41646f058f04,Please update the order field in the English settings panel,order,,,,,,
V3R-416c2be32ce8,Do not mutate protected token MOB-9800000001-R031 inside the posting draft case 31 (synthetic mobile token),MOB-9800000001-R031,,,,,,
V3R-416ce55c25d9,thorai ra paisa mismatch bhayo,thorai,,,,,,
V3R-41a7d6286915,branch ledger: weekly entry ra malai baaki milaaune,weekly,,,,,,
V3R-423d60bc05a0,alignment challenge 10: keep surface [café] intact (combining acute),café,,,,,,
V3R-4275c8254900,aaja bola hisab milaaidim please,bola,,,,,,
V3R-42a2a1db05ff,check alert once before posting — context unclear,alert,,,,,,
V3R-42c2796d8e88,Please update the sort field in the English settings panel,sort,,,,,,
V3R-42d79e2654ea,Enter MRP code in the tax panel without Devanagari rewrite (acr case 47),MRP,,,,,,
V3R-42e029f4117b,Please open the branch module and export the report,branch,,,,,,
V3R-4304f5a24691,Enter MRP code in the tax panel without Devanagari rewrite (acr case 17),MRP,,,,,,
V3R-432a479d0194,branch ledger: transport entry ra suna baaki milaaune,suna,,,,,,
V3R-4332ebb27259,raati ra paisa mismatch bhayo,raati,,,,,,
V3R-447abf212108,Please update the choice field in the English settings panel,choice,,,,,,
V3R-44a41830341f,grahak le bihana bare sodheko cha,bihana,,,,,,
V3R-44d8ae7d4050,check permission once before posting — context unclear,permission,,,,,,
V3R-4555e7177e02,yo aaunu last week ko ho,aaunu,,,,,,
V3R-45c52b624996,Please update the minute field in the English settings panel,minute,,,,,,
V3R-45f0bf90edc1,branch ledger: employee entry ra chaina baaki milaaune,employee,,,,,,
V3R-4609ea4420f0,maybe stock means English UI or Romanized Nepali — reviewer must decide (case 4),stock,,,,,,
V3R-460af5df9943,check schedule once before posting — context unclear,schedule,,,,,,
V3R-4610e74d8216,Do not transliterate the word supplier in this English sentence,supplier,,,,,,
V3R-465891bc9d5d,Please update the card field in the English settings panel,card,,,,,,
V3R-466da74bd48c,aaja tireko hisab milaaidim please,tireko,,,,,,
V3R-46919d1106fd,review shared surface refno in mixed shop note before close,refno,,,,,,
V3R-46ae0b0be02c,check condition once before posting — context unclear,condition,,,,,,
V3R-46c79b594938,maybe sheet means English UI or Romanized Nepali — reviewer must decide (case 30),sheet,,,,,,
V3R-46f5a968285e,Do not mutate protected token INV-SYN-9001-R003 inside the posting draft case 3 (synthetic invoice token),INV-SYN-9001-R003,,,,,,
V3R-47175a1abb35,review shared surface waybill in mixed shop note before close,waybill,,,,,,
V3R-475c8afee35b,alignment challenge 19: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
