review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-066ab5524401,alignment challenge 19: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-069fde95338c,check card once before posting — context unclear,card,,,,,,
V3R-06af93d7416b,check return once before posting — context unclear,return,,,,,,
V3R-07009abd4b4b,Do not mutate protected token ACC-SYN-100200-R002 inside the posting draft case 2 (synthetic account token),ACC-SYN-100200-R002,,,,,,
V3R-07fdc9060a2b,Please update the sort field in the English settings panel,sort,,,,,,
V3R-084202ed1fec,Customer Roshan Dhakal paid by bank transfer yesterday (name case 22),Roshan,,,,,,
V3R-0846541864e8,check edge once before posting — context unclear,edge,,,,,,
V3R-089c2a2dfcc5,malik ji kasari report pathaunuhos,kasari,,,,,,
V3R-08a45d249abf,check miss once before posting — context unclear,miss,,,,,,
V3R-08db4d3e6e80,branch ledger: annual entry ra tapai baaki milaaune,annual,,,,,,
V3R-08df0e07156b,Please update the ratecard field in the English settings panel,ratecard,,,,,,
V3R-0a3b9c024205,maybe account means English UI or Romanized Nepali — reviewer must decide (case 12),account,,,,,,
V3R-0a45c5c52d35,review shared surface discount in mixed shop note before close,discount,,,,,,
V3R-0a61bc78836f,Enter TCS code in the tax panel without Devanagari rewrite (acr case 3),TCS,,,,,,
V3R-0a877fef8081,aaja bill ko hisab milaaidim ra baaki clear gara,bill,,,,,,
V3R-0a9ae4468b51,Do not mutate protected token PAN-A1B2C3D4E5-R080 inside the posting draft case 80 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R080,,,,,,
V3R-0bca1e6ee4bf,Customer Sunita Magar paid by bank transfer yesterday (name case 57),Sunita,,,,,,
V3R-0be016909601,Please update the batch field in the English settings panel,batch,,,,,,
V3R-0c35c8cf4503,aaja error ko hisab milaaidim ra baaki clear gara,error,,,,,,
V3R-0cc4c8f44ddf,Accounting staff asked about quarter settings in Ask MokXya,quarter,,,,,,
V3R-0cd6516af66e,check shift once before posting — context unclear,shift,,,,,,
V3R-0cd6d0c16f85,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,,,,,,
V3R-0d649e182e7f,yo tyasari last week ko ho,tyasari,,,,,,
V3R-0e179d0bd7a1,please jaanu update gardinu,jaanu,,,,,,
V3R-0edf9a593a46,Please update the agenda field in the English settings panel,agenda,,,,,,
V3R-0ee930657bdb,aaja edge ko hisab milaaidim ra baaki clear gara,edge,,,,,,
V3R-0ef5a5d960d8,aaja bhayo hisab milaaidim please,bhayo,,,,,,
V3R-0f394d1a4b0d,check book once before posting — context unclear,book,,,,,,
V3R-0f9068d14ea6,bholi samma padheko baaki clear garnu,padheko,,,,,,
V3R-0f96f8b23fb1,Do not transliterate the word godown in this English sentence,godown,,,,,,
V3R-101dcfe04f72,Filter by forecast then print the ledger summary,forecast,,,,,,
V3R-103231747188,maybe debit means English UI or Romanized Nepali — reviewer must decide (case 15),debit,,,,,,
V3R-1084583fe810,Do not mutate protected token SERIAL-SN-V3-0001-R069 inside the posting draft case 69 (synthetic serial),SERIAL-SN-V3-0001-R069,,,,,,
V3R-10b2ad527b78,branch ledger: password entry ra sano baaki milaaune,sano,,,,,,
V3R-10b92228f7dc,check status once before posting — context unclear,status,,,,,,
V3R-10bc5e933033,Customer Rina Koirala paid by bank transfer yesterday (name case 19),Rina,,,,,,
V3R-1136a0233b9c,Customer Suresh Bhattarai paid by bank transfer yesterday (name case 16),Suresh,,,,,,
V3R-11d6a3aff3ba,aaja group ko hisab milaaidim ra baaki clear gara,group,,,,,,
V3R-11dcc912f0af,Do not mutate protected token PAN-A1B2C3D4E5-R000 inside the posting draft case 0 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R000,,,,,,
V3R-124078fb7b9a,The transport status must remain pending until confirm,transport,,,,,,
V3R-12809bbb895b,Please update the table field in the English settings panel,table,,,,,,
V3R-12a004a69f52,Please update the range field in the English settings panel,range,,,,,,
V3R-12b80e885b9a,Do not mutate protected token MOB-9800000001-R001 inside the posting draft case 1 (synthetic mobile token),MOB-9800000001-R001,,,,,,
V3R-12d0dae664c9,Enter SAC code in the tax panel without Devanagari rewrite (acr case 5),SAC,,,,,,
V3R-12e7514173fe,Please update the root field in the English settings panel,root,,,,,,
V3R-12ed80937d7a,Do not mutate protected token TXN-SYN-778899-R064 inside the posting draft case 64 (synthetic transaction token),TXN-SYN-778899-R064,,,,,,
V3R-1332cf573199,maybe order means English UI or Romanized Nepali — reviewer must decide (case 5),order,,,,,,
V3R-136b34a1345a,Please update the form field in the English settings panel,form,,,,,,
V3R-13d5d56b6daa,Enter Q3 code in the tax panel without Devanagari rewrite (acr case 40),Q3,,,,,,
V3R-13ed314c0ef3,bholi samma thulo baaki clear garnu,thulo,,,,,,
V3R-147cbc4f88bb,Customer Laxmi Pandey paid by bank transfer yesterday (name case 15),Laxmi,,,,,,
V3R-14b195b3fe76,branch ledger: backup entry ra naramro baaki milaaune,naramro,,,,,,
V3R-14cb4777e13c,byaj ra paisa mismatch bhayo,byaj,,,,,,
V3R-14ccf864730a,malik ji kinyo report pathaunuhos,kinyo,,,,,,
V3R-1528dd47d905,check lot once before posting — context unclear,lot,,,,,,
V3R-1529ce651283,aaja node ko hisab milaaidim ra baaki clear gara,node,,,,,,
V3R-155cfbda4ad8,Please update the match field in the English settings panel,match,,,,,,
V3R-156e94a8f6bb,Do not mutate protected token INV-SYN-9001-R063 inside the posting draft case 63 (synthetic invoice token),INV-SYN-9001-R063,,,,,,
V3R-15a95a20d3c4,bholi samma withdraw baaki clear garnu,withdraw,,,,,,
V3R-1641876520de,Customer Prakash Adhikari paid by bank transfer yesterday (name case 8),Prakash,,,,,,
V3R-1657775f8476,aaja passbook ko hisab milaaidim ra baaki clear gara,passbook,,,,,,
V3R-166b7108c5d1,check result once before posting — context unclear,result,,,,,,
V3R-16b59103359d,aaja pricelist ko hisab milaaidim ra baaki clear gara,pricelist,,,,,,
V3R-16ec466ff28c,Please update the edge field in the English settings panel,edge,,,,,,
V3R-16f4d1131a93,bholi samma garaidim baaki clear garnu,garaidim,,,,,,
V3R-1751875a8747,Customer Sarita Bhandari paid by bank transfer yesterday (name case 38),Sarita,,,,,,
V3R-188ded71a58e,aaja hit ko hisab milaaidim ra baaki clear gara,hit,,,,,,
V3R-18c06b20e4f3,maybe rate means English UI or Romanized Nepali — reviewer must decide (case 2),rate,,,,,,
V3R-1978f242f9ec,Enter TDS code in the tax panel without Devanagari rewrite (acr case 32),TDS,,,,,,
V3R-19a04f452951,aaja balance ko hisab milaaidim ra baaki clear gara,balance,,,,,,
V3R-1a24d5395f1a,Do not mutate protected token PAN-A1B2C3D4E5-R060 inside the posting draft case 60 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R060,,,,,,
V3R-1a585f7a8923,maybe book means English UI or Romanized Nepali — reviewer must decide (case 11),book,,,,,,
V3R-1a5edab37506,branch ledger: fiscal entry ra mero baaki milaaune,fiscal,,,,,,
V3R-1ae41c883157,branch ledger: voucher entry ra bholi baaki milaaune,voucher,,,,,,
V3R-1b180c671be2,Enter FIFO code in the tax panel without Devanagari rewrite (acr case 48),FIFO,,,,,,
V3R-1b2a3a0fe6d7,review shared surface agreement in mixed shop note before close,agreement,,,,,,
V3R-1bb3c3069ec0,check box once before posting — context unclear,box,,,,,,
V3R-1bf149ea721e,tyasari ra paisa mismatch bhayo,tyasari,,,,,,
V3R-1bf98683b975,check share once before posting — context unclear,share,,,,,,
V3R-1c1f65838220,grahak le raati bare sodheko cha,raati,,,,,,
V3R-1c3db30249f2,maybe set means English UI or Romanized Nepali — reviewer must decide (case 23),set,,,,,,
V3R-1c82a7644bda,aaja token ko hisab milaaidim ra baaki clear gara,token,,,,,,
V3R-1ce3926ed63e,alignment challenge 28: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-1d129728ff07,Keep rebate as Latin identity for the ERP toolbar label,rebate,,,,,,
V3R-1d3f23012c23,grahak le talab bare sodheko cha,talab,,,,,,
V3R-1e0b745b8e49,Customer Hari Krishna paid by bank transfer yesterday (name case 27),Hari,,,,,,
V3R-1e874f0ea123,Do not mutate protected token ACC-SYN-100200-R062 inside the posting draft case 62 (synthetic account token),ACC-SYN-100200-R062,,,,,,
V3R-1ea13c84d2f3,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R007 inside the posting draft case 7 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R007,,,,,,
V3R-1ed646bb40e8,Please update the return field in the English settings panel,return,,,,,,
V3R-1ef6c9a84cd5,Do not transliterate the word voucher in this English sentence,voucher,,,,,,
V3R-1f20f6c5fc9b,maybe draft means English UI or Romanized Nepali — reviewer must decide (case 18),draft,,,,,,
V3R-1f8372491361,Please update the lot field in the English settings panel,lot,,,,,,
V3R-1faaa749700c,check graph once before posting — context unclear,graph,,,,,,
V3R-1ff3ddc31683,maybe note means English UI or Romanized Nepali — reviewer must decide (case 6),note,,,,,,
V3R-2017acbdc703,branch ledger: sync entry ra ramro baaki milaaune,sync,,,,,,
V3R-201cb1ba47a0,check search once before posting — context unclear,search,,,,,,
V3R-20c43b84b573,aaja filter ko hisab milaaidim ra baaki clear gara,filter,,,,,,
V3R-20cf04a0cfc8,alignment challenge 22: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-2145c7e6ea20,maybe token means English UI or Romanized Nepali — reviewer must decide (case 39),token,,,,,,
V3R-2183e1604fac,Do not mutate protected token IMEI-356938035643809-R068 inside the posting draft case 68 (synthetic device id),IMEI-356938035643809-R068,,,,,,
V3R-21da658c239b,branch ledger: discount entry ra pathau baaki milaaune,pathau,,,,,,
V3R-2261dcab19d0,please hunxa update gardinu,hunxa,,,,,,
V3R-226749267a60,branch ledger: settings entry ra thorai baaki milaaune,thorai,,,,,,
V3R-228cd0aed7d2,aaja guarantee ko hisab milaaidim ra baaki clear gara,guarantee,,,,,,
V3R-22ab6e9fb356,check column once before posting — context unclear,column,,,,,,
V3R-232b9c2f4372,Please update the debit field in the English settings panel,debit,,,,,,
V3R-235778084c9c,Customer Bimala Neupane paid by bank transfer yesterday (name case 48),Bimala,,,,,,
V3R-24c8b7b035f6,Do not transliterate the word payable in this English sentence,payable,,,,,,
V3R-250ef68f4507,branch ledger: ledger entry ra bihana baaki milaaune,bihana,,,,,,
V3R-2511b62756f6,check row once before posting — context unclear,row,,,,,,
V3R-2552f1621881,check bond once before posting — context unclear,bond,,,,,,
V3R-256f1b9eb326,Create a draft settings and leave it unposted,settings,,,,,,
V3R-25873c8a4d16,Create a draft capital and leave it unposted,capital,,,,,,
V3R-25dbbc150e60,Do not mutate protected token URL-https://example.test/eval/v3-R046 inside the posting draft case 46 (synthetic url token),URL-https://example.test/eval/v3-R046,,,,,,
V3R-263f80871a8f,hijo ko deposit entry check gara,deposit,,,,,,
V3R-268dec23d47f,aaja copy ko hisab milaaidim ra baaki clear gara,copy,,,,,,
V3R-26b1dbb94719,aaja miss ko hisab milaaidim ra baaki clear gara,miss,,,,,,
V3R-26ddd6dba7e3,aaja notice ko hisab milaaidim ra baaki clear gara,notice,,,,,,
V3R-270def8ad718,aaja form ko hisab milaaidim ra baaki clear gara,form,,,,,,
V3R-2722c1db888f,The quotation status must remain pending until confirm,quotation,,,,,,
V3R-2758e2c663a9,aaja bank ko hisab milaaidim ra baaki clear gara,bank,,,,,,
V3R-276c945383e4,branch ledger: transport entry ra suna baaki milaaune,suna,,,,,,
V3R-278261e9d2bb,Customer Rina Koirala paid by bank transfer yesterday (name case 44),Rina,,,,,,
V3R-27af86394532,Do not mutate protected token TXN-SYN-778899-R034 inside the posting draft case 34 (synthetic transaction token),TXN-SYN-778899-R034,,,,,,
V3R-27c242702ddf,Keep batch as Latin identity for the ERP toolbar label,batch,,,,,,
V3R-27f66b3c91b3,Please open the opening module and export the report,opening,,,,,,
V3R-280e52d8f8f9,grahak le thaha bare sodheko cha,thaha,,,,,,
V3R-28227bdd3fd7,Please update the credit field in the English settings panel,credit,,,,,,
V3R-283af3253e2d,Enter VAT code in the tax panel without Devanagari rewrite (acr case 31),VAT,,,,,,
V3R-285443dd0b30,alignment challenge 4: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-286714d4b4e6,check guarantee once before posting — context unclear,guarantee,,,,,,
V3R-2888c5129d3f,aaja term ko hisab milaaidim ra baaki clear gara,term,,,,,,
V3R-28e4dc0786eb,Do not mutate protected token SERIAL-SN-V3-0001-R039 inside the posting draft case 39 (synthetic serial),SERIAL-SN-V3-0001-R039,,,,,,
V3R-293a2e49d0f7,aaja result ko hisab milaaidim ra baaki clear gara,result,,,,,,
V3R-293bf771bff6,sano ra paisa mismatch bhayo,sano,,,,,,
V3R-29543ae71f14,aaja mode ko hisab milaaidim ra baaki clear gara,mode,,,,,,
V3R-296f7ab3d36f,Do not mutate protected token IMEI-356938035643809-R078 inside the posting draft case 78 (synthetic device id),IMEI-356938035643809-R078,,,,,,
V3R-29b10a1dd01e,check root once before posting — context unclear,root,,,,,,
V3R-29de8593b530,The receivable status must remain pending until confirm,receivable,,,,,,
V3R-29f13863294d,hijo ko kun entry check gara,kun,,,,,,
V3R-29f4b882b577,review shared surface offer in mixed shop note before close,offer,,,,,,
V3R-2a3851076bb8,yo paisa last week ko ho,paisa,,,,,,
V3R-2a51eced92e4,aaja check ko hisab milaaidim ra baaki clear gara,check,,,,,,
V3R-2a9add818c2e,Please update the query field in the English settings panel,query,,,,,,
V3R-2af1552c435d,Enter MRP code in the tax panel without Devanagari rewrite (acr case 17),MRP,,,,,,
V3R-2b09c039c84e,Please update the gate field in the English settings panel,gate,,,,,,
V3R-2b0d11ac47f9,Filter by PAN then print the ledger summary,PAN,,,,,,
V3R-2b7903b4e171,kin ra paisa mismatch bhayo,kin,,,,,,
V3R-2bbff56157b2,Please update the node field in the English settings panel,node,,,,,,
V3R-2bde6c5a75e4,Customer Anita Gurung paid by bank transfer yesterday (name case 30),Anita,,,,,,
V3R-2c00057766db,Do not mutate protected token MOB-9800000001-R081 inside the posting draft case 81 (synthetic mobile token),MOB-9800000001-R081,,,,,,
V3R-2c4e88da21ee,Please update the code field in the English settings panel,code,,,,,,
V3R-2c676fbc955c,Please update the copy field in the English settings panel,copy,,,,,,
V3R-2cb9e074c01f,aaja flag ko hisab milaaidim ra baaki clear gara,flag,,,,,,
V3R-2d03a852be66,branch ledger: reconcile entry ra paisa baaki milaaune,paisa,,,,,,
V3R-2d0de18c28e3,Enter VAT code in the tax panel without Devanagari rewrite (acr case 1),VAT,,,,,,
V3R-2d2c5d9035b1,alignment challenge 47: keep surface [NPR−100] intact (minus sign),NPR−100,,,,,,
V3R-2d52d6fafd69,check peak once before posting — context unclear,peak,,,,,,
V3R-2d7ccbbcf242,check code once before posting — context unclear,code,,,,,,
V3R-2de0ffab94a2,Customer Roshan Dhakal paid by bank transfer yesterday (name case 47),Roshan,,,,,,
V3R-2df8b2e5d1d1,malik ji balance report pathaunuhos,balance,,,,,,
V3R-2e033249edba,Customer Mina Shrestha paid by bank transfer yesterday (name case 59),Mina,,,,,,
V3R-2e16d7040ba0,yo grahak last week ko ho,grahak,,,,,,
V3R-2ee5c7f4cfbb,check gate once before posting — context unclear,gate,,,,,,
V3R-2f00014d0c04,Please open the branch module and export the report,branch,,,,,,
V3R-2f57200f6b19,Filter by contractor then print the ledger summary,contractor,,,,,,
V3R-2f65562b7d4d,Do not mutate protected token EMAIL-user.syn@example.test-R015 inside the posting draft case 15 (synthetic email token),EMAIL-user.syn@example.test-R015,,,,,,
V3R-2f7a36077ef6,maybe card means English UI or Romanized Nepali — reviewer must decide (case 8),card,,,,,,
V3R-2fa17b164f55,aaja sort ko hisab milaaidim ra baaki clear gara,sort,,,,,,
V3R-2ff591db11e7,check account once before posting — context unclear,account,,,,,,
V3R-306d3bcdc044,branch ledger: restore entry ra thulo baaki milaaune,restore,,,,,,
V3R-306e0d51d3b1,please bola update gardinu,bola,,,,,,
V3R-30c78c45e2bd,bholi samma mero baaki clear garnu,mero,,,,,,
V3R-312bc2a1a73f,Enter TB code in the tax panel without Devanagari rewrite (acr case 27),TB,,,,,,
V3R-313d52026448,Customer Rajesh Karki paid by bank transfer yesterday (name case 56),Rajesh,,,,,,
V3R-316cb9e87505,alignment challenge 15: keep surface [“hisab”] intact (smart quotes),“hisab”,,,,,,
V3R-31c78a8578ed,grahak le thiyo bare sodheko cha,thiyo,,,,,,
V3R-31e085260692,Please open the asset module and export the report,asset,,,,,,
V3R-31ef9a0ffbcc,Please update the ticket field in the English settings panel,ticket,,,,,,
V3R-3228352a734b,bholi samma lejhar baaki clear garnu,lejhar,,,,,,
V3R-3286b5ca05df,Do not mutate protected token IMEI-356938035643809-R008 inside the posting draft case 8 (synthetic device id),IMEI-356938035643809-R008,,,,,,
V3R-328e70956292,The hsn status must remain pending until confirm,hsn,,,,,,
V3R-32d6958cee8e,Please open the posted module and export the report,posted,,,,,,
V3R-32dbe76eeadf,branch ledger: opening entry ra bata baaki milaaune,opening,,,,,,
V3R-331140807b81,yo thorai last week ko ho,thorai,,,,,,
V3R-3318d1438279,aaja upload ko hisab milaaidim ra baaki clear gara,upload,,,,,,
V3R-333d6fd3ef87,Do not mutate protected token IMEI-356938035643809-R038 inside the posting draft case 38 (synthetic device id),IMEI-356938035643809-R038,,,,,,
V3R-3413fc2dc535,Do not mutate protected token TXN-SYN-778899-R094 inside the posting draft case 94 (synthetic transaction token),TXN-SYN-778899-R094,,,,,,
V3R-349115564b67,branch ledger: payroll entry ra byaj baaki milaaune,byaj,,,,,,
V3R-352f43cad12d,Accounting staff asked about upi settings in Ask MokXya,upi,,,,,,
V3R-3545fc4e36f9,check catalogue once before posting — context unclear,catalogue,,,,,,
V3R-35548f872d94,Please update the bank field in the English settings panel,bank,,,,,,
V3R-358d017403df,aaja gate ko hisab milaaidim ra baaki clear gara,gate,,,,,,
V3R-359037d71dd0,aaja bond ko hisab milaaidim ra baaki clear gara,bond,,,,,,
V3R-35942afe3e96,grahak le transfer bare sodheko cha,transfer,,,,,,
V3R-35d45927bfa6,Do not mutate protected token MOB-9800000001-R021 inside the posting draft case 21 (synthetic mobile token),MOB-9800000001-R021,,,,,,
V3R-361e0911b555,aaja spread ko hisab milaaidim ra baaki clear gara,spread,,,,,,
V3R-366c49bfdd78,Please update the token field in the English settings panel,token,,,,,,
V3R-368271d65824,maybe sheet means English UI or Romanized Nepali — reviewer must decide (case 30),sheet,,,,,,
V3R-36d9521770a3,Keep VAT as Latin identity for the ERP toolbar label,VAT,,,,,,
V3R-36e114b7d4f4,aaja kati hisab milaaidim please,kati,,,,,,
V3R-370f388051af,branch ledger: tax entry ra kharcha baaki milaaune,kharcha,,,,,,
V3R-372695bfa74b,Do not transliterate the word sku in this English sentence,sku,,,,,,
V3R-374e8d508100,Enter PL code in the tax panel without Devanagari rewrite (acr case 29),PL,,,,,,
V3R-375882d19326,Enter TDS code in the tax panel without Devanagari rewrite (acr case 2),TDS,,,,,,
V3R-380de07bb8ed,Keep purchase as Latin identity for the ERP toolbar label,purchase,,,,,,
V3R-389f0d87d21c,Please update the list field in the English settings panel,list,,,,,,
V3R-38e549b29569,check mail once before posting — context unclear,mail,,,,,,
V3R-391683fee4df,yo linchu last week ko ho,linchu,,,,,,
V3R-3918c0ac6da0,Do not mutate protected token ACC-SYN-100200-R052 inside the posting draft case 52 (synthetic account token),ACC-SYN-100200-R052,,,,,,
V3R-392a8c82c535,yo kehi last week ko ho,kehi,,,,,,
V3R-393e5323de16,alignment challenge 0: keep surface [café] intact (combining acute),café,,,,,,
V3R-39abf8323d41,aaja permission ko hisab milaaidim ra baaki clear gara,permission,,,,,,
V3R-39c300fffbe4,branch ledger: posted entry ra hamro baaki milaaune,posted,,,,,,
V3R-3a09f2b0d818,grahak le aayo bare sodheko cha,aayo,,,,,,
V3R-3a23f812ec44,aaja folder ko hisab milaaidim ra baaki clear gara,folder,,,,,,
V3R-3b162372e3a9,review shared surface lotno in mixed shop note before close,lotno,,,,,,
V3R-3b1e5cab80db,branch ledger: report entry ra gayo baaki milaaune,report,,,,,,
V3R-3bd5dfbeb05f,basnu ra paisa mismatch bhayo,basnu,,,,,,
V3R-3bf4c7734568,Please update the condition field in the English settings panel,condition,,,,,,
V3R-3c6cebc7cdb7,The warehouse status must remain pending until confirm,warehouse,,,,,,
V3R-3c914c208b56,Please open the statement module and export the report,statement,,,,,,
V3R-3d41901a1066,malik ji pahila report pathaunuhos,pahila,,,,,,
V3R-3d479432dacc,check schedule once before posting — context unclear,schedule,,,,,,
V3R-3da56e7356da,please saman update gardinu,saman,,,,,,
V3R-3e7aa5008efe,Sync failed for GST queue — retry after backup,GST,,,,,,
V3R-3eeb1559c382,Please update the option field in the English settings panel,option,,,,,,
V3R-3ef1a54c37d6,alignment challenge 12: keep surface [﻿opening] intact (BOM prefix),﻿opening,,,,,,
V3R-3ef7f9393e23,check flag once before posting — context unclear,flag,,,,,,
V3R-3f0e991ac2a6,Do not mutate protected token TXN-SYN-778899-R054 inside the posting draft case 54 (synthetic transaction token),TXN-SYN-778899-R054,,,,,,
V3R-3f6bf155dac6,Do not mutate protected token URL-https://example.test/eval/v3-R066 inside the posting draft case 66 (synthetic url token),URL-https://example.test/eval/v3-R066,,,,,,
V3R-3f9e04663ed5,hijo ko hijo entry check gara,hijo,,,,,,
V3R-3ff5e7456840,check list once before posting — context unclear,list,,,,,,
V3R-4080b47912ac,aaja entry ko hisab milaaidim ra baaki clear gara,entry,,,,,,
V3R-409b88e61bf5,branch ledger: return entry ra rakha baaki milaaune,return,,,,,,
V3R-40a694ebad6a,Accounting staff asked about rounding settings in Ask MokXya,rounding,,,,,,
V3R-41ccbd39a7e1,Customer Anita Gurung paid by bank transfer yesterday (name case 5),Anita,,,,,,
V3R-4218923cc93f,hijo ko khata entry check gara,khata,,,,,,
V3R-423df48e8156,check menu once before posting — context unclear,menu,,,,,,
V3R-425afc381f2f,check choice once before posting — context unclear,choice,,,,,,
V3R-42a3ef289622,check match once before posting — context unclear,match,,,,,,
V3R-42b294e36150,grahak le kharcha bare sodheko cha,kharcha,,,,,,
V3R-42d524801581,The bonus status must remain pending until confirm,bonus,,,,,,
V3R-4336502355ca,Please update the post field in the English settings panel,post,,,,,,
V3R-4360645c5551,Enter BS code in the tax panel without Devanagari rewrite (acr case 28),BS,,,,,,
V3R-43bcbbb6fd10,The commission status must remain pending until confirm,commission,,,,,,
V3R-442e46e8b5b1,Please update the limit field in the English settings panel,limit,,,,,,
V3R-448327bdac23,Please update the slip field in the English settings panel,slip,,,,,,
V3R-44bbf0b3ab3a,Filter by profit then print the ledger summary,profit,,,,,,
V3R-44f0c11d28c4,Please update the schedule field in the English settings panel,schedule,,,,,,
V3R-450b5473af45,Accounting staff asked about tax settings in Ask MokXya,tax,,,,,,
V3R-45937bc5d175,malik ji dherai report pathaunuhos,dherai,,,,,,
V3R-45a9c60fbf99,check check once before posting — context unclear,check,,,,,,
V3R-45ac84e19f05,Customer Bikash Thapa paid by bank transfer yesterday (name case 4),Bikash,,,,,,
V3R-45ad0902e78a,maybe stamp means English UI or Romanized Nepali — reviewer must decide (case 28),stamp,,,,,,
V3R-45d27ccfed00,grahak le nafa bare sodheko cha,nafa,,,,,,
V3R-4606eaac3e58,aaja hamro hisab milaaidim please,hamro,,,,,,
V3R-462137a2e1df,Enter NPR code in the tax panel without Devanagari rewrite (acr case 36),NPR,,,,,,
V3R-462538c095ca,Customer Prakash Adhikari paid by bank transfer yesterday (name case 58),Prakash,,,,,,
V3R-4633a9e1ac27,aaja policy ko hisab milaaidim ra baaki clear gara,policy,,,,,,
V3R-47737f3fc732,Customer Bikash Thapa paid by bank transfer yesterday (name case 54),Bikash,,,,,,
V3R-477f61022786,aaja cash ko hisab milaaidim ra baaki clear gara,cash,,,,,,
V3R-47d38e87dfb0,branch ledger: quarter entry ra usko baaki milaaune,usko,,,,,,
V3R-481597520c7f,Do not mutate protected token ACC-SYN-100200-R012 inside the posting draft case 12 (synthetic account token),ACC-SYN-100200-R012,,,,,,
V3R-4833b7827dde,yo suna last week ko ho,suna,,,,,,
V3R-4833e9a3d539,Enter SAC code in the tax panel without Devanagari rewrite (acr case 35),SAC,,,,,,
V3R-485c3d737295,Please update the seal field in the English settings panel,seal,,,,,,
V3R-4870b1b8d7fe,Accounting staff asked about tds settings in Ask MokXya,tds,,,,,,
V3R-4891e32d2fd2,check draft once before posting — context unclear,draft,,,,,,
V3R-48b1ae56083f,Please update the role field in the English settings panel,role,,,,,,
V3R-48f9fd60d1cf,check order once before posting — context unclear,order,,,,,,
V3R-493c6d6b064e,Please update the base field in the English settings panel,base,,,,,,
