review_id,input_text,highlighted_span,disposition,confidence,reason_category,natural_context_ok,suspected_ambiguity,reviewer_notes
V3R-0861417fd85a,please dherai update gardinu,dherai,,,,,,
V3R-08c26dd1ef4c,maybe bank means English UI or Romanized Nepali — reviewer must decide (case 3),bank,,,,,,
V3R-09323a5c1bd1,Customer Kabita Limbu paid by bank transfer yesterday (name case 36),Kabita,,,,,,
V3R-09c51b91bc20,Enter Q4 code in the tax panel without Devanagari rewrite (acr case 41),Q4,,,,,,
V3R-0a0733756fb2,malik ji thyo report pathaunuhos,thyo,,,,,,
V3R-0a212c2f8189,check set once before posting — context unclear,set,,,,,,
V3R-0a386c6dcdaa,alignment challenge 10: keep surface [café] intact (combining acute),café,,,,,,
V3R-0a7dd9eb8913,aaja agenda ko hisab milaaidim ra baaki clear gara,agenda,,,,,,
V3R-0a8e63e79192,Do not mutate protected token IMEI-356938035643809-R048 inside the posting draft case 48 (synthetic device id),IMEI-356938035643809-R048,,,,,,
V3R-0a8f10f3775e,Keep journal as Latin identity for the ERP toolbar label,journal,,,,,,
V3R-0ad346bd896d,Please update the role field in the English settings panel,role,,,,,,
V3R-0b0f93ee7c39,yo ho last week ko ho,ho,,,,,,
V3R-0bb5b1faed52,hijo ko paisa entry check gara,paisa,,,,,,
V3R-0bfb345ea3bc,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R097 inside the posting draft case 97 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R097,,,,,,
V3R-0c79af5e86d4,check share once before posting — context unclear,share,,,,,,
V3R-0cb9a9ad380b,aaja field ko hisab milaaidim ra baaki clear gara,field,,,,,,
V3R-0d056f6761ef,Please update the form field in the English settings panel,form,,,,,,
V3R-0e066130ed7b,alignment challenge 30: keep surface [café] intact (combining acute),café,,,,,,
V3R-0e306dcfc93c,Do not transliterate the word godown in this English sentence,godown,,,,,,
V3R-0e55b26524aa,Customer Roshan Dhakal paid by bank transfer yesterday (name case 22),Roshan,,,,,,
V3R-0e6959021788,Customer Sagar Gautam paid by bank transfer yesterday (name case 49),Sagar,,,,,,
V3R-0e96b43e9725,check post once before posting — context unclear,post,,,,,,
V3R-0eb7c222e28f,check right once before posting — context unclear,right,,,,,,
V3R-0f397ecb935c,branch ledger: discount entry ra pathau baaki milaaune,pathau,,,,,,
V3R-0f6b8dfba240,branch ledger: amortization entry ra aile baaki milaaune,amortization,,,,,,
V3R-0fd113837622,hijo ko kamdar entry check gara,kamdar,,,,,,
V3R-100340f57f7b,bholi samma staff baaki clear garnu,staff,,,,,,
V3R-10488d2b7b1c,maybe page means English UI or Romanized Nepali — reviewer must decide (case 31),page,,,,,,
V3R-105d15c725dd,Do not mutate protected token EMAIL-user.syn@example.test-R055 inside the posting draft case 55 (synthetic email token),EMAIL-user.syn@example.test-R055,,,,,,
V3R-108cd65a6b00,Please update the duty field in the English settings panel,duty,,,,,,
V3R-10ad7bb40d7a,branch ledger: depreciation entry ra aba baaki milaaune,aba,,,,,,
V3R-10c5abab4f0b,Filter by forecast then print the ledger summary,forecast,,,,,,
V3R-11474cafa171,Create a draft capital and leave it unposted,capital,,,,,,
V3R-119fc308dad3,Customer Ram Bahadur paid by bank transfer yesterday (name case 0),Ram,,,,,,
V3R-11eda5d2c76f,Enter BS code in the tax panel without Devanagari rewrite (acr case 28),BS,,,,,,
V3R-11f7cc096cc5,aaja result ko hisab milaaidim ra baaki clear gara,result,,,,,,
V3R-1235a7fbc60a,bholi samma garaidim baaki clear garnu,garaidim,,,,,,
V3R-12a2b8ad6390,review shared surface invoice in mixed shop note before close,invoice,,,,,,
V3R-12b85c62c011,branch ledger: settings entry ra thorai baaki milaaune,thorai,,,,,,
V3R-12f3b67d3184,branch ledger: accrual entry ra kasto baaki milaaune,kasto,,,,,,
V3R-13457a5e36f3,check debit once before posting — context unclear,debit,,,,,,
V3R-134f2fc7e42c,aaja key ko hisab milaaidim ra baaki clear gara,key,,,,,,
V3R-145d825c659c,Do not mutate protected token SERIAL-SN-V3-0001-R009 inside the posting draft case 9 (synthetic serial),SERIAL-SN-V3-0001-R009,,,,,,
V3R-15243c5a92e9,bholi samma aamdani baaki clear garnu,aamdani,,,,,,
V3R-1524f9c0fe4d,branch ledger: cancel entry ra tara baaki milaaune,cancel,,,,,,
V3R-154bde320402,The subtotal status must remain pending until confirm,subtotal,,,,,,
V3R-154d3ea3949e,review shared surface txn in mixed shop note before close,txn,,,,,,
V3R-156088418ff3,thorai ra paisa mismatch bhayo,thorai,,,,,,
V3R-15e27e6696b3,alignment challenge 44: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-15f9daa0188e,aaja cash ko hisab milaaidim ra baaki clear gara,cash,,,,,,
V3R-1616c3a00d4b,branch ledger: quarter entry ra usko baaki milaaune,usko,,,,,,
V3R-163691e4aea0,hijo ko gara entry check gara,gara,,,,,,
V3R-1647137162c0,aaja memo ko hisab milaaidim ra baaki clear gara,memo,,,,,,
V3R-166e00dc1edd,maybe stock means English UI or Romanized Nepali — reviewer must decide (case 4),stock,,,,,,
V3R-169665eaf6c0,Customer Ajay Basnet paid by bank transfer yesterday (name case 20),Ajay,,,,,,
V3R-169a125b9218,Please update the floor field in the English settings panel,floor,,,,,,
V3R-169e2e1f230a,The hsn status must remain pending until confirm,hsn,,,,,,
V3R-16b9e7d418f9,malik ji thulo report pathaunuhos,thulo,,,,,,
V3R-16c4023ed54a,Do not mutate protected token URL-https://example.test/eval/v3-R066 inside the posting draft case 66 (synthetic url token),URL-https://example.test/eval/v3-R066,,,,,,
V3R-170472510df2,Accounting staff asked about tds settings in Ask MokXya,tds,,,,,,
V3R-171f478d38bf,aaja bholi hisab milaaidim please,bholi,,,,,,
V3R-176dbac4fa78,alignment challenge 48: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-17842454c12e,check info once before posting — context unclear,info,,,,,,
V3R-18188d70e022,Do not transliterate the word interest in this English sentence,interest,,,,,,
V3R-181a2e6c82dd,aaja list ko hisab milaaidim ra baaki clear gara,list,,,,,,
V3R-1846b96f69c7,Please update the catalogue field in the English settings panel,catalogue,,,,,,
V3R-185482b9f356,aaja row ko hisab milaaidim ra baaki clear gara,row,,,,,,
V3R-18b42b4857da,Please update the code field in the English settings panel,code,,,,,,
V3R-18d52cf03a5d,kin ra paisa mismatch bhayo,kin,,,,,,
V3R-18f647db3c53,Accounting staff asked about cashflow settings in Ask MokXya,cashflow,,,,,,
V3R-1911f0910bdc,check warning once before posting — context unclear,warning,,,,,,
V3R-196ac3a8b7a2,Do not mutate protected token SERIAL-SN-V3-0001-R029 inside the posting draft case 29 (synthetic serial),SERIAL-SN-V3-0001-R029,,,,,,
V3R-19dd6d73a5c9,Do not mutate protected token IMEI-356938035643809-R068 inside the posting draft case 68 (synthetic device id),IMEI-356938035643809-R068,,,,,,
V3R-19eb7b95e7aa,please tireko update gardinu,tireko,,,,,,
V3R-19f600d642f1,Customer Sita Devi paid by bank transfer yesterday (name case 51),Sita,,,,,,
V3R-19fb1b196670,Create a draft INR and leave it unposted,INR,,,,,,
V3R-1a1e93f994c0,Please update the sort field in the English settings panel,sort,,,,,,
V3R-1a2c7c281bfc,branch ledger: voucher entry ra bholi baaki milaaune,voucher,,,,,,
V3R-1a4a8d48dedd,Please update the check field in the English settings panel,check,,,,,,
V3R-1a56bdf3cea6,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R047 inside the posting draft case 47 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R047,,,,,,
V3R-1a5ef3b5d9db,Accounting staff asked about customer settings in Ask MokXya,customer,,,,,,
V3R-1ac613aec10d,Customer Roshan Dhakal paid by bank transfer yesterday (name case 47),Roshan,,,,,,
V3R-1aefe8d0d373,check lock once before posting — context unclear,lock,,,,,,
V3R-1b1d9cab7004,Do not mutate protected token MOB-9800000001-R061 inside the posting draft case 61 (synthetic mobile token),MOB-9800000001-R061,,,,,,
V3R-1b40bc7a1cbb,Do not mutate protected token TXN-SYN-778899-R024 inside the posting draft case 24 (synthetic transaction token),TXN-SYN-778899-R024,,,,,,
V3R-1b57ca46e3fb,aaja bujhe hisab milaaidim please,bujhe,,,,,,
V3R-1b5a8b4f0962,check scan once before posting — context unclear,scan,,,,,,
V3R-1b60acac6d1f,maybe lock means English UI or Romanized Nepali — reviewer must decide (case 36),lock,,,,,,
V3R-1b693c8ab6da,Please update the path field in the English settings panel,path,,,,,,
V3R-1bb61d779d38,maybe rate means English UI or Romanized Nepali — reviewer must decide (case 2),rate,,,,,,
V3R-1bbd2247b000,bholi samma bujhe baaki clear garnu,bujhe,,,,,,
V3R-1beeaf22117f,branch ledger: salary entry ra udharo baaki milaaune,salary,,,,,,
V3R-1c56caada458,check peak once before posting — context unclear,peak,,,,,,
V3R-1c72c8acc4d1,aaja group ko hisab milaaidim ra baaki clear gara,group,,,,,,
V3R-1c732ce6c7d3,Do not mutate protected token IMEI-356938035643809-R008 inside the posting draft case 8 (synthetic device id),IMEI-356938035643809-R008,,,,,,
V3R-1d0c6409cbf2,dekhau ra paisa mismatch bhayo,dekhau,,,,,,
V3R-1d6220ef25ab,review shared surface upc in mixed shop note before close,upc,,,,,,
V3R-1d81bb35b8b1,Do not mutate protected token URL-https://example.test/eval/v3-R076 inside the posting draft case 76 (synthetic url token),URL-https://example.test/eval/v3-R076,,,,,,
V3R-1d8a8e23737f,alignment challenge 23: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-1e534be9ee99,Please update the lock field in the English settings panel,lock,,,,,,
V3R-1e553cf7b84f,grahak le naramro bare sodheko cha,naramro,,,,,,
V3R-1e9de0742011,maybe list means English UI or Romanized Nepali — reviewer must decide (case 24),list,,,,,,
V3R-1eaba0a37d53,maybe mail means English UI or Romanized Nepali — reviewer must decide (case 20),mail,,,,,,
V3R-1ef92fbfe18e,Enter SKU code in the tax panel without Devanagari rewrite (acr case 12),SKU,,,,,,
V3R-1f1c5df92f73,alignment challenge 1: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-1f4fa204a7f9,Sync failed for return queue — retry after backup,return,,,,,,
V3R-1f5d3528c08b,Enter SKU code in the tax panel without Devanagari rewrite (acr case 42),SKU,,,,,,
V3R-1f8e639551a1,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R077 inside the posting draft case 77 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R077,,,,,,
V3R-1f8ef56358c7,malik ji kinyo report pathaunuhos,kinyo,,,,,,
V3R-1fa229122abc,alignment challenge 11: keep surface [ñepali] intact (combining tilde),ñepali,,,,,,
V3R-1fc66dc81574,Filter by profit then print the ledger summary,profit,,,,,,
V3R-2014f57d7da7,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,,,,,,
V3R-201f8e522da0,Please update the set field in the English settings panel,set,,,,,,
V3R-202181ad480a,Filter by monthly then print the ledger summary,monthly,,,,,,
V3R-202f2352acfb,Keep headquarters as Latin identity for the ERP toolbar label,headquarters,,,,,,
V3R-204fbe483750,aaja bola hisab milaaidim please,bola,,,,,,
V3R-207dc299cc09,Enter VAT code in the tax panel without Devanagari rewrite (acr case 1),VAT,,,,,,
V3R-20c433249298,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R007 inside the posting draft case 7 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R007,,,,,,
V3R-2102d87a9d4e,Accounting staff asked about adjustment settings in Ask MokXya,adjustment,,,,,,
V3R-214080acc98f,Please update the warranty field in the English settings panel,warranty,,,,,,
V3R-21709ac57987,Please update the gate field in the English settings panel,gate,,,,,,
V3R-217eafd510f1,maybe sheet means English UI or Romanized Nepali — reviewer must decide (case 30),sheet,,,,,,
V3R-21b606e32123,check condition once before posting — context unclear,condition,,,,,,
V3R-2256521759dc,branch ledger: password entry ra sano baaki milaaune,sano,,,,,,
V3R-22656bf52a79,check account once before posting — context unclear,account,,,,,,
V3R-22bdfd167c47,Customer Nabin Poudel paid by bank transfer yesterday (name case 12),Nabin,,,,,,
V3R-230faf90d534,branch ledger: warehouse entry ra huncha baaki milaaune,huncha,,,,,,
V3R-23112fb04a07,Please update the term field in the English settings panel,term,,,,,,
V3R-2340e8586f12,Customer Anita Gurung paid by bank transfer yesterday (name case 5),Anita,,,,,,
V3R-236d4f6be201,aaja bijuli hisab milaaidim please,bijuli,,,,,,
V3R-2378c98a7d37,aaja credit ko hisab milaaidim ra baaki clear gara,credit,,,,,,
V3R-23b0a783cf53,Do not mutate protected token PAN-A1B2C3D4E5-R060 inside the posting draft case 60 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R060,,,,,,
V3R-24361cef72b1,Keep tcs as Latin identity for the ERP toolbar label,tcs,,,,,,
V3R-2438f892031c,Keep VAT as Latin identity for the ERP toolbar label,VAT,,,,,,
V3R-2454aab6db26,branch ledger: audit entry ra rupiya baaki milaaune,audit,,,,,,
V3R-2470669e091b,branch ledger: headquarters entry ra thyo baaki milaaune,headquarters,,,,,,
V3R-24e4f6900184,Please update the ticket field in the English settings panel,ticket,,,,,,
V3R-25391e901c52,Enter TCS code in the tax panel without Devanagari rewrite (acr case 33),TCS,,,,,,
V3R-2542a2ebbe3d,check row once before posting — context unclear,row,,,,,,
V3R-25c11ac72a88,check value once before posting — context unclear,value,,,,,,
V3R-25c4ed5404d9,Do not mutate protected token ACC-SYN-100200-R042 inside the posting draft case 42 (synthetic account token),ACC-SYN-100200-R042,,,,,,
V3R-2602f3a02b71,alignment challenge 43: keep surface [a​aja] intact (zero-width space),a​aja,,,,,,
V3R-262e6167075f,aaja permission ko hisab milaaidim ra baaki clear gara,permission,,,,,,
V3R-265d3e064ddb,aaja policy ko hisab milaaidim ra baaki clear gara,policy,,,,,,
V3R-266b937ef08d,Enter TB code in the tax panel without Devanagari rewrite (acr case 27),TB,,,,,,
V3R-27043cbb5f9a,review shared surface license in mixed shop note before close,license,,,,,,
V3R-274e6d3efa29,check query once before posting — context unclear,query,,,,,,
V3R-276d228da41b,aaja line ko hisab milaaidim ra baaki clear gara,line,,,,,,
V3R-27769b02142b,aaja tag ko hisab milaaidim ra baaki clear gara,tag,,,,,,
V3R-27d54e2cd81c,Filter by password then print the ledger summary,password,,,,,,
V3R-27eaee9a391f,maybe card means English UI or Romanized Nepali — reviewer must decide (case 8),card,,,,,,
V3R-2850d1422bee,hijo ko paani entry check gara,paani,,,,,,
V3R-2854a2d1c246,Keep cancel as Latin identity for the ERP toolbar label,cancel,,,,,,
V3R-2931adb33e82,check credit once before posting — context unclear,credit,,,,,,
V3R-293e72a7aebe,branch ledger: import entry ra aaunu baaki milaaune,aaunu,,,,,,
V3R-297cecbe37e5,maybe order means English UI or Romanized Nepali — reviewer must decide (case 5),order,,,,,,
V3R-29a3db3b95c8,Enter HSN code in the tax panel without Devanagari rewrite (acr case 4),HSN,,,,,,
V3R-2a2581608dc7,aaja option ko hisab milaaidim ra baaki clear gara,option,,,,,,
V3R-2a2fed69c3be,Keep wallet as Latin identity for the ERP toolbar label,wallet,,,,,,
V3R-2a3866bdc529,aaja dinchu hisab milaaidim please,dinchu,,,,,,
V3R-2ab387cea149,bholi samma thyo baaki clear garnu,thyo,,,,,,
V3R-2b178d2db0bb,dukan ra paisa mismatch bhayo,dukan,,,,,,
V3R-2b326a42bb04,yo maal last week ko ho,maal,,,,,,
V3R-2b34b911ba3f,Please update the pass field in the English settings panel,pass,,,,,,
V3R-2b4cc1ae1c70,Filter by gateway then print the ledger summary,gateway,,,,,,
V3R-2c59196cc6d0,aaja shift ko hisab milaaidim ra baaki clear gara,shift,,,,,,
V3R-2cad5dbc9e26,Customer Prakash Adhikari paid by bank transfer yesterday (name case 33),Prakash,,,,,,
V3R-2d0b09099001,Filter by module then print the ledger summary,module,,,,,,
V3R-2d1c078fedb3,yo timro last week ko ho,timro,,,,,,
V3R-2d597d52e9af,aaja bata hisab milaaidim please,bata,,,,,,
V3R-2dab6ecec171,branch ledger: receipt entry ra hijo baaki milaaune,hijo,,,,,,
V3R-2db6396cad2e,Create a draft debitnote and leave it unposted,debitnote,,,,,,
V3R-2e0781effcc1,Filter by depreciation then print the ledger summary,depreciation,,,,,,
V3R-2e4a7911598f,yo aaunu last week ko ho,aaunu,,,,,,
V3R-2e503a314f74,Do not mutate protected token EMAIL-user.syn@example.test-R025 inside the posting draft case 25 (synthetic email token),EMAIL-user.syn@example.test-R025,,,,,,
V3R-2e658ce0b0d8,Please update the option field in the English settings panel,option,,,,,,
V3R-2e7ee592db4c,Enter ROI code in the tax panel without Devanagari rewrite (acr case 21),ROI,,,,,,
V3R-2ee124af2adf,Sync failed for amortization queue — retry after backup,amortization,,,,,,
V3R-2ee80e470b2d,Do not mutate protected token TXN-SYN-778899-R004 inside the posting draft case 4 (synthetic transaction token),TXN-SYN-778899-R004,,,,,,
V3R-2f4597cd42b5,malik ji tapai report pathaunuhos,tapai,,,,,,
V3R-2f5466a084b1,malik ji cha report pathaunuhos,cha,,,,,,
V3R-3069c329f5a9,Do not mutate protected token ACC-SYN-100200-R082 inside the posting draft case 82 (synthetic account token),ACC-SYN-100200-R082,,,,,,
V3R-3082f502fc87,Please update the seal field in the English settings panel,seal,,,,,,
V3R-309b707dbe7e,Do not mutate protected token PAN-A1B2C3D4E5-R050 inside the posting draft case 50 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R050,,,,,,
V3R-30d7ecbf9abf,Enter COGS code in the tax panel without Devanagari rewrite (acr case 23),COGS,,,,,,
V3R-30dc5611be89,alignment challenge 24: keep surface [kharcha baaki] intact (nbsp),kharcha baaki,,,,,,
V3R-30f8b6f98827,Please update the page field in the English settings panel,page,,,,,,
V3R-314e55718154,Enter PO code in the tax panel without Devanagari rewrite (acr case 13),PO,,,,,,
V3R-31564c81a58d,Please update the bank field in the English settings panel,bank,,,,,,
V3R-3173a3f6c31a,please rakha update gardinu,rakha,,,,,,
V3R-3198ce96f810,Please update the class field in the English settings panel,class,,,,,,
V3R-3207ceeb81c7,branch ledger: adjustment entry ra pachi baaki milaaune,pachi,,,,,,
V3R-32a2ed50c358,alignment challenge 36: keep surface [paisa…] intact (ellipsis),paisa…,,,,,,
V3R-32c069729824,aaja lot ko hisab milaaidim ra baaki clear gara,lot,,,,,,
V3R-32f109ae9048,hijo ko khata entry check gara,khata,,,,,,
V3R-32fb54b02ffd,aaja link ko hisab milaaidim ra baaki clear gara,link,,,,,,
V3R-3316dc862a8f,Do not mutate protected token EMAIL-user.syn@example.test-R005 inside the posting draft case 5 (synthetic email token),EMAIL-user.syn@example.test-R005,,,,,,
V3R-33795a13e8d6,branch ledger: configuration entry ra sabai baaki milaaune,configuration,,,,,,
V3R-339065236a3e,branch ledger: template entry ra kehi baaki milaaune,kehi,,,,,,
V3R-33b3d20fd12b,malik ji bonus report pathaunuhos,bonus,,,,,,
V3R-340238a4c18b,aaja book ko hisab milaaidim ra baaki clear gara,book,,,,,,
V3R-3459d86d47df,Do not mutate protected token EMAIL-user.syn@example.test-R015 inside the posting draft case 15 (synthetic email token),EMAIL-user.syn@example.test-R015,,,,,,
V3R-3484d80880a5,bholi samma ramro baaki clear garnu,ramro,,,,,,
V3R-34e39d2e5c26,Do not mutate protected token MOB-9800000001-R021 inside the posting draft case 21 (synthetic mobile token),MOB-9800000001-R021,,,,,,
V3R-34e40332fc97,check catalogue once before posting — context unclear,catalogue,,,,,,
V3R-3508830c21b3,Customer Mina Shrestha paid by bank transfer yesterday (name case 34),Mina,,,,,,
V3R-353ac3eaa50e,Do not mutate protected token ACC-SYN-100200-R012 inside the posting draft case 12 (synthetic account token),ACC-SYN-100200-R012,,,,,,
V3R-3589201fdabf,Customer Nisha Tamang paid by bank transfer yesterday (name case 46),Nisha,,,,,,
V3R-35972ec862a4,aaja info ko hisab milaaidim ra baaki clear gara,info,,,,,,
V3R-35b07928a3a2,Do not mutate protected token INV-SYN-9001-R023 inside the posting draft case 23 (synthetic invoice token),INV-SYN-9001-R023,,,,,,
V3R-35b1d3d015ee,check bill once before posting — context unclear,bill,,,,,,
V3R-36cc1fec00f1,alignment challenge 18: keep surface [½] intact (vulgar fraction),½,,,,,,
V3R-36e5aa75f86a,Enter NPR code in the tax panel without Devanagari rewrite (acr case 36),NPR,,,,,,
V3R-371902867d73,hijo ko naramro entry check gara,naramro,,,,,,
V3R-373bc7c35136,check minute once before posting — context unclear,minute,,,,,,
V3R-374fb65757af,check cash once before posting — context unclear,cash,,,,,,
V3R-37bf61568c0a,check stamp once before posting — context unclear,stamp,,,,,,
V3R-38170c60751d,Enter LIFO code in the tax panel without Devanagari rewrite (acr case 19),LIFO,,,,,,
V3R-38a0e8c41508,Please update the upload field in the English settings panel,upload,,,,,,
V3R-38e1f0693e24,check error once before posting — context unclear,error,,,,,,
V3R-38e5760b9b37,Do not mutate protected token PAN-A1B2C3D4E5-R090 inside the posting draft case 90 (synthetic taxpayer id token),PAN-A1B2C3D4E5-R090,,,,,,
V3R-3953549df1f6,branch ledger: provision entry ra pahila baaki milaaune,provision,,,,,,
V3R-39c470021fdc,bholi samma beluka baaki clear garnu,beluka,,,,,,
V3R-3a756f240e49,Do not transliterate the word equity in this English sentence,equity,,,,,,
V3R-3a932e952704,Sync failed for loss queue — retry after backup,loss,,,,,,
V3R-3aba34bda43e,check copy once before posting — context unclear,copy,,,,,,
V3R-3aee4027d264,Customer Prakash Adhikari paid by bank transfer yesterday (name case 8),Prakash,,,,,,
V3R-3b02f80e5781,check download once before posting — context unclear,download,,,,,,
V3R-3b8c63a2661f,branch ledger: draft entry ra aru baaki milaaune,draft,,,,,,
V3R-3bd474063e24,Do not transliterate the word carryforward in this English sentence,carryforward,,,,,,
V3R-3bd5964cd3a9,branch ledger: branch entry ra hunxa baaki milaaune,branch,,,,,,
V3R-3bdd145b431b,voucher ra paisa mismatch bhayo,voucher,,,,,,
V3R-3c00d013fc07,Sync failed for weekly queue — retry after backup,weekly,,,,,,
V3R-3c0947a305ab,aaja path ko hisab milaaidim ra baaki clear gara,path,,,,,,
V3R-3c1bccd7ff56,Do not mutate protected token ACC-SYN-100200-R092 inside the posting draft case 92 (synthetic account token),ACC-SYN-100200-R092,,,,,,
V3R-3ca84559aae3,aaja cell ko hisab milaaidim ra baaki clear gara,cell,,,,,,
V3R-3d15dcf8f368,hijo ko lekheko entry check gara,lekheko,,,,,,
V3R-3d2f5d716e65,aaja guarantee ko hisab milaaidim ra baaki clear gara,guarantee,,,,,,
V3R-3d6f65ece6fe,Keep income as Latin identity for the ERP toolbar label,income,,,,,,
V3R-3e42b73c3b30,please aaja update gardinu,aaja,,,,,,
V3R-3e4e4909f106,Keep currency as Latin identity for the ERP toolbar label,currency,,,,,,
V3R-3e51d846b1d6,Do not mutate protected token IMEI-356938035643809-R028 inside the posting draft case 28 (synthetic device id),IMEI-356938035643809-R028,,,,,,
V3R-3eb29c3e2409,Please open the delivery module and export the report,delivery,,,,,,
V3R-3f01530a1c41,aaja gate ko hisab milaaidim ra baaki clear gara,gate,,,,,,
V3R-3f19d5a97d48,Please update the passbook field in the English settings panel,passbook,,,,,,
V3R-3f5cfe1ef42f,alignment challenge 39: keep surface [㎡] intact (square metre symbol),㎡,,,,,,
V3R-3f82faff3540,yo tyasari last week ko ho,tyasari,,,,,,
V3R-3fec728545a6,Do not mutate protected token URL-https://example.test/eval/v3-R006 inside the posting draft case 6 (synthetic url token),URL-https://example.test/eval/v3-R006,,,,,,
V3R-4067b8a82c9f,malik ji yasari report pathaunuhos,yasari,,,,,,
V3R-408de6187c36,aaja bank ko hisab milaaidim ra baaki clear gara,bank,,,,,,
V3R-408eafe51ecc,aaja node ko hisab milaaidim ra baaki clear gara,node,,,,,,
V3R-40c18ef3510f,check menu once before posting — context unclear,menu,,,,,,
V3R-40cba515414c,branch ledger: VAT entry ra aamdani baaki milaaune,VAT,,,,,,
V3R-40cc8df11d71,check form once before posting — context unclear,form,,,,,,
V3R-4175088589f9,review shared surface ean in mixed shop note before close,ean,,,,,,
V3R-4181c31761f9,please sabai update gardinu,sabai,,,,,,
V3R-41f1696e49fd,check choice once before posting — context unclear,choice,,,,,,
V3R-41fb198718ce,Enter MRP code in the tax panel without Devanagari rewrite (acr case 47),MRP,,,,,,
V3R-42146dce7fed,chhaina ra paisa mismatch bhayo,chhaina,,,,,,
V3R-424b7505e630,aaja choice ko hisab milaaidim ra baaki clear gara,choice,,,,,,
V3R-428508d10157,check note once before posting — context unclear,note,,,,,,
V3R-42a5df7f3bf4,malik ji kasari report pathaunuhos,kasari,,,,,,
V3R-430ede8bbac6,Do not mutate protected token TXN-SYN-778899-R094 inside the posting draft case 94 (synthetic transaction token),TXN-SYN-778899-R094,,,,,,
V3R-4320d1872ddb,branch ledger: equity entry ra dinchu baaki milaaune,equity,,,,,,
V3R-432e431d4b66,please malai update gardinu,malai,,,,,,
V3R-434a8f59661f,Please update the cell field in the English settings panel,cell,,,,,,
V3R-43622cec0383,aaja sign ko hisab milaaidim ra baaki clear gara,sign,,,,,,
V3R-43d834f94c6b,sakcha ra paisa mismatch bhayo,sakcha,,,,,,
V3R-44a2362fd334,check balance once before posting — context unclear,balance,,,,,,
V3R-44aa879f5248,Do not mutate protected token SERIAL-SN-V3-0001-R059 inside the posting draft case 59 (synthetic serial),SERIAL-SN-V3-0001-R059,,,,,,
