opaque_review_id,input_text,highlighted_span,context_note,disposition,confidence,reviewer_notes
"R3L-eddac74369d3fc15","Enter GL code in the tax panel without Devanagari rewrite (acr case 26)","GL","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-2db6bbf51942d759","Enter GRN code in the tax panel without Devanagari rewrite (acr case 45)","GRN","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-14428378b32fe173","Enter SKU code in the tax panel without Devanagari rewrite (acr case 42)","SKU","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-2e5f786235362a5c","Enter MRP code in the tax panel without Devanagari rewrite (acr case 17)","MRP","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-0a45d0c41b3f1014","Enter LIFO code in the tax panel without Devanagari rewrite (acr case 19)","LIFO","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-1f6ecb204224a618","Enter SAC code in the tax panel without Devanagari rewrite (acr case 35)","SAC","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-c9d07456eae12ae8","Enter TCS code in the tax panel without Devanagari rewrite (acr case 33)","TCS","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-bf3c825fbd6cf24b","maybe book means English UI or Romanized Nepali — reviewer must decide (case 11)","book","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-73a55a22f10d1ce3","maybe draft means English UI or Romanized Nepali — reviewer must decide (case 18)","draft","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-105cef3a7d5b1b2c","maybe key means English UI or Romanized Nepali — reviewer must decide (case 35)","key","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-30320be365a51175","maybe order means English UI or Romanized Nepali — reviewer must decide (case 5)","order","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-8fc1b60b446a7373","maybe sign means English UI or Romanized Nepali — reviewer must decide (case 26)","sign","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-98273a822aea2bb1","review shared surface contract in mixed shop note before close","contract","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-e663134ab6bd84bf","review shared surface deal in mixed shop note before close","deal","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-684c541813381213","review shared surface license in mixed shop note before close","license","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-21aab0788d2210a6","review shared surface receipt in mixed shop note before close","receipt","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-cb03103d84d29dbd","review shared surface permit in mixed shop note before close","permit","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-9d35d67899e34d61","review shared surface serial in mixed shop note before close","serial","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-0277c4cd75d02e92","review shared surface offer in mixed shop note before close","offer","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-d34bc7d7529e4b15","review shared surface challan in mixed shop note before close","challan","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-6810eaf8833e30a4","review shared surface waybill in mixed shop note before close","waybill","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-b63b19ad9a156b0e","review shared surface agreement in mixed shop note before close","agreement","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-e97d43f74fde96b7","review shared surface invoice in mixed shop note before close","invoice","Neutral diagnostic sample. Assign disposition independently.","","",""
"R3L-a616d6dd6caa45a2","review shared surface voucher in mixed shop note before close","voucher","Neutral diagnostic sample. Assign disposition independently.","","",""
