review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability,reviewer_entered_candidate,notes
V3R-05242bb9eb94,check lot once before posting — context unclear,lot,1,lot_alt,,,
V3R-05242bb9eb94,check lot once before posting — context unclear,lot,2,NONE_ACCEPTABLE,,,
V3R-05242bb9eb94,check lot once before posting — context unclear,lot,3,lot,,,
V3R-057662827656,aaja cash ko hisab milaaidim ra baaki clear gara,cash,0,cash_alt,,,
V3R-057662827656,aaja cash ko hisab milaaidim ra baaki clear gara,cash,1,CASH,,,
V3R-057662827656,aaja cash ko hisab milaaidim ra baaki clear gara,cash,2,NONE_ACCEPTABLE,,,
V3R-057662827656,aaja cash ko hisab milaaidim ra baaki clear gara,cash,3,cash,,,
V3R-05a7dc77b970,aaja pass ko hisab milaaidim ra baaki clear gara,pass,0,pass_alt,,,
V3R-05a7dc77b970,aaja pass ko hisab milaaidim ra baaki clear gara,pass,1,PASS,,,
V3R-05a7dc77b970,aaja pass ko hisab milaaidim ra baaki clear gara,pass,2,pass,,,
V3R-05a7dc77b970,aaja pass ko hisab milaaidim ra baaki clear gara,pass,3,NONE_ACCEPTABLE,,,
V3R-05cb2a080641,check graph once before posting — context unclear,graph,0,NONE_ACCEPTABLE,,,
V3R-05cb2a080641,check graph once before posting — context unclear,graph,1,graph_alt,,,
V3R-05cb2a080641,check graph once before posting — context unclear,graph,2,graph,,,
V3R-05cb2a080641,check graph once before posting — context unclear,graph,3,GRAPH,,,
V3R-0606c086fc8e,aaja condition ko hisab milaaidim ra baaki clear gara,condition,0,condition,,,
V3R-0606c086fc8e,aaja condition ko hisab milaaidim ra baaki clear gara,condition,1,condition_alt,,,
V3R-0606c086fc8e,aaja condition ko hisab milaaidim ra baaki clear gara,condition,2,NONE_ACCEPTABLE,,,
V3R-0606c086fc8e,aaja condition ko hisab milaaidim ra baaki clear gara,condition,3,CONDITION,,,
V3R-0614d057399a,check mail once before posting — context unclear,mail,0,mail_alt,,,
V3R-0614d057399a,check mail once before posting — context unclear,mail,1,NONE_ACCEPTABLE,,,
V3R-0614d057399a,check mail once before posting — context unclear,mail,2,mail,,,
V3R-0614d057399a,check mail once before posting — context unclear,mail,3,MAIL,,,
V3R-0630f37bbd07,aaja balance ko hisab milaaidim ra baaki clear gara,balance,0,balance_alt,,,
V3R-0630f37bbd07,aaja balance ko hisab milaaidim ra baaki clear gara,balance,1,NONE_ACCEPTABLE,,,
V3R-0630f37bbd07,aaja balance ko hisab milaaidim ra baaki clear gara,balance,2,BALANCE,,,
V3R-0630f37bbd07,aaja balance ko hisab milaaidim ra baaki clear gara,balance,3,balance,,,
V3R-07c7de2cb07c,check post once before posting — context unclear,post,0,post_alt,,,
V3R-07c7de2cb07c,check post once before posting — context unclear,post,1,NONE_ACCEPTABLE,,,
V3R-07c7de2cb07c,check post once before posting — context unclear,post,2,post,,,
V3R-07c7de2cb07c,check post once before posting — context unclear,post,3,POST,,,
V3R-085639d1a2e2,aaja shift ko hisab milaaidim ra baaki clear gara,shift,0,SHIFT,,,
V3R-085639d1a2e2,aaja shift ko hisab milaaidim ra baaki clear gara,shift,1,shift,,,
V3R-085639d1a2e2,aaja shift ko hisab milaaidim ra baaki clear gara,shift,2,shift_alt,,,
V3R-085639d1a2e2,aaja shift ko hisab milaaidim ra baaki clear gara,shift,3,NONE_ACCEPTABLE,,,
V3R-0939753a1192,check agenda once before posting — context unclear,agenda,0,agenda,,,
V3R-0939753a1192,check agenda once before posting — context unclear,agenda,1,AGENDA,,,
V3R-0939753a1192,check agenda once before posting — context unclear,agenda,2,NONE_ACCEPTABLE,,,
V3R-0939753a1192,check agenda once before posting — context unclear,agenda,3,agenda_alt,,,
V3R-0984a2cb9622,check folder once before posting — context unclear,folder,0,FOLDER,,,
V3R-0984a2cb9622,check folder once before posting — context unclear,folder,1,folder_alt,,,
V3R-0984a2cb9622,check folder once before posting — context unclear,folder,2,NONE_ACCEPTABLE,,,
V3R-0984a2cb9622,check folder once before posting — context unclear,folder,3,folder,,,
V3R-09bc92a74e9d,aaja select ko hisab milaaidim ra baaki clear gara,select,0,SELECT,,,
V3R-09bc92a74e9d,aaja select ko hisab milaaidim ra baaki clear gara,select,1,select_alt,,,
V3R-09bc92a74e9d,aaja select ko hisab milaaidim ra baaki clear gara,select,2,NONE_ACCEPTABLE,,,
V3R-09bc92a74e9d,aaja select ko hisab milaaidim ra baaki clear gara,select,3,select,,,
V3R-0a239fdca995,branch ledger: restore entry ra thulo baaki milaaune,restore,0,thulo,,,
V3R-0a239fdca995,branch ledger: restore entry ra thulo baaki milaaune,restore,1,NONE_ACCEPTABLE,,,
V3R-0a239fdca995,branch ledger: restore entry ra thulo baaki milaaune,restore,2,restore,,,
V3R-0b0f93368279,check passbook once before posting — context unclear,passbook,0,NONE_ACCEPTABLE,,,
V3R-0b0f93368279,check passbook once before posting — context unclear,passbook,1,PASSBOOK,,,
V3R-0b0f93368279,check passbook once before posting — context unclear,passbook,2,passbook,,,
V3R-0b0f93368279,check passbook once before posting — context unclear,passbook,3,passbook_alt,,,
V3R-0b6374e79a5a,aaja debit ko hisab milaaidim ra baaki clear gara,debit,0,DEBIT,,,
V3R-0b6374e79a5a,aaja debit ko hisab milaaidim ra baaki clear gara,debit,1,debit_alt,,,
V3R-0b6374e79a5a,aaja debit ko hisab milaaidim ra baaki clear gara,debit,2,debit,,,
V3R-0b6374e79a5a,aaja debit ko hisab milaaidim ra baaki clear gara,debit,3,NONE_ACCEPTABLE,,,
V3R-0bbf177ddeb6,Please update the cash field in the English settings panel,cash,0,cash_alt,,,
V3R-0bbf177ddeb6,Please update the cash field in the English settings panel,cash,1,CASH,,,
V3R-0bbf177ddeb6,Please update the cash field in the English settings panel,cash,2,NONE_ACCEPTABLE,,,
V3R-0bbf177ddeb6,Please update the cash field in the English settings panel,cash,3,cash,,,
V3R-0c2c18712298,check flag once before posting — context unclear,flag,0,flag,,,
V3R-0c2c18712298,check flag once before posting — context unclear,flag,1,NONE_ACCEPTABLE,,,
V3R-0c2c18712298,check flag once before posting — context unclear,flag,2,flag_alt,,,
V3R-0c2c18712298,check flag once before posting — context unclear,flag,3,FLAG,,,
V3R-0c3f8305c233,Create a draft payroll and leave it unposted,payroll,0,NONE_ACCEPTABLE,,,
V3R-0c3f8305c233,Create a draft payroll and leave it unposted,payroll,1,payroll,,,
V3R-0c6bafa4fe74,check rule once before posting — context unclear,rule,0,rule_alt,,,
V3R-0c6bafa4fe74,check rule once before posting — context unclear,rule,1,RULE,,,
V3R-0c6bafa4fe74,check rule once before posting — context unclear,rule,2,NONE_ACCEPTABLE,,,
V3R-0c6bafa4fe74,check rule once before posting — context unclear,rule,3,rule,,,
V3R-0cbfbbc5f37e,Please update the node field in the English settings panel,node,0,node,,,
V3R-0cbfbbc5f37e,Please update the node field in the English settings panel,node,1,NODE,,,
V3R-0cbfbbc5f37e,Please update the node field in the English settings panel,node,2,NONE_ACCEPTABLE,,,
V3R-0cbfbbc5f37e,Please update the node field in the English settings panel,node,3,node_alt,,,
V3R-0cee521fe329,Sync failed for creditnote queue — retry after backup,creditnote,0,creditnote,,,
V3R-0cee521fe329,Sync failed for creditnote queue — retry after backup,creditnote,1,NONE_ACCEPTABLE,,,
V3R-0d615e158fd1,check bag once before posting — context unclear,bag,0,BAG,,,
V3R-0d615e158fd1,check bag once before posting — context unclear,bag,1,bag,,,
V3R-0d615e158fd1,check bag once before posting — context unclear,bag,2,NONE_ACCEPTABLE,,,
V3R-0d615e158fd1,check bag once before posting — context unclear,bag,3,bag_alt,,,
V3R-0d9a9bec6c99,check file once before posting — context unclear,file,0,FILE,,,
V3R-0d9a9bec6c99,check file once before posting — context unclear,file,1,file_alt,,,
V3R-0d9a9bec6c99,check file once before posting — context unclear,file,2,file,,,
V3R-0d9a9bec6c99,check file once before posting — context unclear,file,3,NONE_ACCEPTABLE,,,
V3R-0e007c1b4e83,branch ledger: opening entry ra bata baaki milaaune,opening,0,opening,,,
V3R-0e007c1b4e83,branch ledger: opening entry ra bata baaki milaaune,opening,1,bata,,,
V3R-0e007c1b4e83,branch ledger: opening entry ra bata baaki milaaune,opening,2,NONE_ACCEPTABLE,,,
V3R-0e9baa70235d,branch ledger: posted entry ra hamro baaki milaaune,posted,0,posted,,,
V3R-0e9baa70235d,branch ledger: posted entry ra hamro baaki milaaune,posted,1,hamro,,,
V3R-0e9baa70235d,branch ledger: posted entry ra hamro baaki milaaune,posted,2,NONE_ACCEPTABLE,,,
V3R-0f199b5b76a8,Please update the page field in the English settings panel,page,0,PAGE,,,
V3R-0f199b5b76a8,Please update the page field in the English settings panel,page,1,page,,,
V3R-0f199b5b76a8,Please update the page field in the English settings panel,page,2,page_alt,,,
V3R-0f199b5b76a8,Please update the page field in the English settings panel,page,3,NONE_ACCEPTABLE,,,
V3R-0fe968d0e334,Do not transliterate the word estimate in this English sentence,estimate,0,NONE_ACCEPTABLE,,,
V3R-0fe968d0e334,Do not transliterate the word estimate in this English sentence,estimate,1,estimate,,,
V3R-10c330b85032,The subtotal status must remain pending until confirm,subtotal,0,NONE_ACCEPTABLE,,,
V3R-10c330b85032,The subtotal status must remain pending until confirm,subtotal,1,subtotal,,,
V3R-1177de629b8b,The liability status must remain pending until confirm,liability,0,liability,,,
V3R-1177de629b8b,The liability status must remain pending until confirm,liability,1,NONE_ACCEPTABLE,,,
V3R-120d96b361ba,branch ledger: closing entry ra sanga baaki milaaune,sanga,0,NONE_ACCEPTABLE,,,
V3R-120d96b361ba,branch ledger: closing entry ra sanga baaki milaaune,sanga,1,sanga,,,
V3R-120d96b361ba,branch ledger: closing entry ra sanga baaki milaaune,sanga,2,closing,,,
V3R-121e516a91bd,branch ledger: salary entry ra udharo baaki milaaune,salary,0,salary,,,
V3R-121e516a91bd,branch ledger: salary entry ra udharo baaki milaaune,salary,1,NONE_ACCEPTABLE,,,
V3R-121e516a91bd,branch ledger: salary entry ra udharo baaki milaaune,salary,2,udharo,,,
V3R-12445c86782d,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,0,NONE_ACCEPTABLE,,,
V3R-12445c86782d,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,1,garaidim,,,
V3R-12445c86782d,branch ledger: purchase entry ra garaidim baaki milaaune,purchase,2,purchase,,,
V3R-12d94252c26f,aaja query ko hisab milaaidim ra baaki clear gara,query,0,query,,,
V3R-12d94252c26f,aaja query ko hisab milaaidim ra baaki clear gara,query,1,NONE_ACCEPTABLE,,,
V3R-12d94252c26f,aaja query ko hisab milaaidim ra baaki clear gara,query,2,QUERY,,,
V3R-12d94252c26f,aaja query ko hisab milaaidim ra baaki clear gara,query,3,query_alt,,,
V3R-133124e7f16d,Please update the entry field in the English settings panel,entry,0,entry,,,
V3R-133124e7f16d,Please update the entry field in the English settings panel,entry,1,entry_alt,,,
V3R-133124e7f16d,Please update the entry field in the English settings panel,entry,2,ENTRY,,,
V3R-133124e7f16d,Please update the entry field in the English settings panel,entry,3,NONE_ACCEPTABLE,,,
V3R-13905509c95f,Please update the edge field in the English settings panel,edge,0,EDGE,,,
V3R-13905509c95f,Please update the edge field in the English settings panel,edge,1,edge_alt,,,
V3R-13905509c95f,Please update the edge field in the English settings panel,edge,2,NONE_ACCEPTABLE,,,
V3R-13905509c95f,Please update the edge field in the English settings panel,edge,3,edge,,,
V3R-139736cb8e75,Please update the limit field in the English settings panel,limit,0,limit,,,
V3R-139736cb8e75,Please update the limit field in the English settings panel,limit,1,LIMIT,,,
V3R-139736cb8e75,Please update the limit field in the English settings panel,limit,2,NONE_ACCEPTABLE,,,
V3R-139736cb8e75,Please update the limit field in the English settings panel,limit,3,limit_alt,,,
V3R-144026a3d23e,aaja bond ko hisab milaaidim ra baaki clear gara,bond,0,bond_alt,,,
V3R-144026a3d23e,aaja bond ko hisab milaaidim ra baaki clear gara,bond,1,BOND,,,
V3R-144026a3d23e,aaja bond ko hisab milaaidim ra baaki clear gara,bond,2,NONE_ACCEPTABLE,,,
V3R-144026a3d23e,aaja bond ko hisab milaaidim ra baaki clear gara,bond,3,bond,,,
V3R-145efc4a0550,branch ledger: branch entry ra hunxa baaki milaaune,branch,0,NONE_ACCEPTABLE,,,
V3R-145efc4a0550,branch ledger: branch entry ra hunxa baaki milaaune,branch,1,hunxa,,,
V3R-145efc4a0550,branch ledger: branch entry ra hunxa baaki milaaune,branch,2,branch,,,
V3R-146a08280ca1,check entry once before posting — context unclear,entry,0,NONE_ACCEPTABLE,,,
V3R-146a08280ca1,check entry once before posting — context unclear,entry,1,ENTRY,,,
V3R-146a08280ca1,check entry once before posting — context unclear,entry,2,entry_alt,,,
V3R-146a08280ca1,check entry once before posting — context unclear,entry,3,entry,,,
V3R-149c878fb952,check ticket once before posting — context unclear,ticket,0,ticket,,,
V3R-149c878fb952,check ticket once before posting — context unclear,ticket,1,ticket_alt,,,
V3R-149c878fb952,check ticket once before posting — context unclear,ticket,2,NONE_ACCEPTABLE,,,
V3R-149c878fb952,check ticket once before posting — context unclear,ticket,3,TICKET,,,
V3R-14a11f3324b4,Please update the code field in the English settings panel,code,0,code_alt,,,
V3R-14a11f3324b4,Please update the code field in the English settings panel,code,1,code,,,
V3R-14a11f3324b4,Please update the code field in the English settings panel,code,2,NONE_ACCEPTABLE,,,
V3R-14a11f3324b4,Please update the code field in the English settings panel,code,3,CODE,,,
V3R-151d46813145,Filter by PAN then print the ledger summary,PAN,0,NONE_ACCEPTABLE,,,
V3R-151d46813145,Filter by PAN then print the ledger summary,PAN,1,PAN,,,
V3R-15740d9bf5ee,Create a draft accrual and leave it unposted,accrual,0,accrual,,,
V3R-15740d9bf5ee,Create a draft accrual and leave it unposted,accrual,1,NONE_ACCEPTABLE,,,
V3R-15a09c1a3589,The commission status must remain pending until confirm,commission,0,commission,,,
V3R-15a09c1a3589,The commission status must remain pending until confirm,commission,1,NONE_ACCEPTABLE,,,
V3R-1637cd9e08f1,aaja base ko hisab milaaidim ra baaki clear gara,base,0,BASE,,,
V3R-1637cd9e08f1,aaja base ko hisab milaaidim ra baaki clear gara,base,1,NONE_ACCEPTABLE,,,
V3R-1637cd9e08f1,aaja base ko hisab milaaidim ra baaki clear gara,base,2,base_alt,,,
V3R-1637cd9e08f1,aaja base ko hisab milaaidim ra baaki clear gara,base,3,base,,,
V3R-163a27bca207,review shared surface premium in mixed shop note before close,premium,0,NONE_ACCEPTABLE,,,
V3R-163a27bca207,review shared surface premium in mixed shop note before close,premium,1,premium,,,
V3R-168513d5ad04,check scan once before posting — context unclear,scan,0,SCAN,,,
V3R-168513d5ad04,check scan once before posting — context unclear,scan,1,NONE_ACCEPTABLE,,,
V3R-168513d5ad04,check scan once before posting — context unclear,scan,2,scan,,,
V3R-168513d5ad04,check scan once before posting — context unclear,scan,3,scan_alt,,,
V3R-1750d807116d,check page once before posting — context unclear,page,0,page,,,
V3R-1750d807116d,check page once before posting — context unclear,page,1,NONE_ACCEPTABLE,,,
V3R-1750d807116d,check page once before posting — context unclear,page,2,page_alt,,,
V3R-1750d807116d,check page once before posting — context unclear,page,3,PAGE,,,
V3R-1753357a319a,branch ledger: employee entry ra chaina baaki milaaune,employee,0,NONE_ACCEPTABLE,,,
V3R-1753357a319a,branch ledger: employee entry ra chaina baaki milaaune,employee,1,employee,,,
V3R-1753357a319a,branch ledger: employee entry ra chaina baaki milaaune,employee,2,chaina,,,
V3R-177875ff7fec,Please update the column field in the English settings panel,column,0,column,,,
V3R-177875ff7fec,Please update the column field in the English settings panel,column,1,NONE_ACCEPTABLE,,,
V3R-177875ff7fec,Please update the column field in the English settings panel,column,2,column_alt,,,
V3R-177875ff7fec,Please update the column field in the English settings panel,column,3,COLUMN,,,
V3R-17c4daf6d209,branch ledger: ledger entry ra bihana baaki milaaune,bihana,0,bihana,,,
V3R-17c4daf6d209,branch ledger: ledger entry ra bihana baaki milaaune,bihana,1,ledger,,,
V3R-17c4daf6d209,branch ledger: ledger entry ra bihana baaki milaaune,bihana,2,NONE_ACCEPTABLE,,,
V3R-1892d7c7ab07,Please update the slip field in the English settings panel,slip,0,SLIP,,,
V3R-1892d7c7ab07,Please update the slip field in the English settings panel,slip,1,slip,,,
V3R-1892d7c7ab07,Please update the slip field in the English settings panel,slip,2,NONE_ACCEPTABLE,,,
V3R-1892d7c7ab07,Please update the slip field in the English settings panel,slip,3,slip_alt,,,
V3R-18a1f721c7a2,aaja node ko hisab milaaidim ra baaki clear gara,node,0,NODE,,,
V3R-18a1f721c7a2,aaja node ko hisab milaaidim ra baaki clear gara,node,1,node_alt,,,
V3R-18a1f721c7a2,aaja node ko hisab milaaidim ra baaki clear gara,node,2,node,,,
V3R-18a1f721c7a2,aaja node ko hisab milaaidim ra baaki clear gara,node,3,NONE_ACCEPTABLE,,,
V3R-18de432599c0,branch ledger: password entry ra sano baaki milaaune,sano,0,password,,,
V3R-18de432599c0,branch ledger: password entry ra sano baaki milaaune,sano,1,NONE_ACCEPTABLE,,,
V3R-18de432599c0,branch ledger: password entry ra sano baaki milaaune,sano,2,sano,,,
V3R-18dee75c9b42,Please open the asset module and export the report,asset,0,NONE_ACCEPTABLE,,,
V3R-18dee75c9b42,Please open the asset module and export the report,asset,1,asset,,,
V3R-18f79e5bff62,review shared surface pan in mixed shop note before close,pan,0,NONE_ACCEPTABLE,,,
V3R-18f79e5bff62,review shared surface pan in mixed shop note before close,pan,1,pan,,,
V3R-19860b3b92a2,branch ledger: reject entry ra yasari baaki milaaune,reject,0,yasari,,,
V3R-19860b3b92a2,branch ledger: reject entry ra yasari baaki milaaune,reject,1,reject,,,
V3R-19860b3b92a2,branch ledger: reject entry ra yasari baaki milaaune,reject,2,NONE_ACCEPTABLE,,,
V3R-19b81032d950,Please open the posted module and export the report,posted,0,NONE_ACCEPTABLE,,,
V3R-19b81032d950,Please open the posted module and export the report,posted,1,posted,,,
V3R-1acf8251c368,Create a draft capital and leave it unposted,capital,0,capital,,,
V3R-1acf8251c368,Create a draft capital and leave it unposted,capital,1,NONE_ACCEPTABLE,,,
V3R-1b5240303171,Please update the series field in the English settings panel,series,0,series_alt,,,
V3R-1b5240303171,Please update the series field in the English settings panel,series,1,NONE_ACCEPTABLE,,,
V3R-1b5240303171,Please update the series field in the English settings panel,series,2,SERIES,,,
V3R-1b5240303171,Please update the series field in the English settings panel,series,3,series,,,
V3R-1b658c707426,Please open the statement module and export the report,statement,0,NONE_ACCEPTABLE,,,
V3R-1b658c707426,Please open the statement module and export the report,statement,1,statement,,,
V3R-1c091b78ae07,aaja hit ko hisab milaaidim ra baaki clear gara,hit,0,HIT,,,
V3R-1c091b78ae07,aaja hit ko hisab milaaidim ra baaki clear gara,hit,1,hit_alt,,,
V3R-1c091b78ae07,aaja hit ko hisab milaaidim ra baaki clear gara,hit,2,hit,,,
V3R-1c091b78ae07,aaja hit ko hisab milaaidim ra baaki clear gara,hit,3,NONE_ACCEPTABLE,,,
V3R-1c379c29fcaf,aaja token ko hisab milaaidim ra baaki clear gara,token,0,TOKEN,,,
V3R-1c379c29fcaf,aaja token ko hisab milaaidim ra baaki clear gara,token,1,token_alt,,,
V3R-1c379c29fcaf,aaja token ko hisab milaaidim ra baaki clear gara,token,2,NONE_ACCEPTABLE,,,
V3R-1c379c29fcaf,aaja token ko hisab milaaidim ra baaki clear gara,token,3,token,,,
V3R-1cef8fa0086c,aaja box ko hisab milaaidim ra baaki clear gara,box,0,NONE_ACCEPTABLE,,,
V3R-1cef8fa0086c,aaja box ko hisab milaaidim ra baaki clear gara,box,1,BOX,,,
V3R-1cef8fa0086c,aaja box ko hisab milaaidim ra baaki clear gara,box,2,box_alt,,,
V3R-1cef8fa0086c,aaja box ko hisab milaaidim ra baaki clear gara,box,3,box,,,
V3R-1cfa3f64ef8e,aaja column ko hisab milaaidim ra baaki clear gara,column,0,NONE_ACCEPTABLE,,,
V3R-1cfa3f64ef8e,aaja column ko hisab milaaidim ra baaki clear gara,column,1,column_alt,,,
V3R-1cfa3f64ef8e,aaja column ko hisab milaaidim ra baaki clear gara,column,2,COLUMN,,,
V3R-1cfa3f64ef8e,aaja column ko hisab milaaidim ra baaki clear gara,column,3,column,,,
V3R-1d2f24c4a5ea,branch ledger: quarter entry ra usko baaki milaaune,usko,0,quarter,,,
V3R-1d2f24c4a5ea,branch ledger: quarter entry ra usko baaki milaaune,usko,1,NONE_ACCEPTABLE,,,
V3R-1d2f24c4a5ea,branch ledger: quarter entry ra usko baaki milaaune,usko,2,usko,,,
V3R-1d798346ebe5,review shared surface refno in mixed shop note before close,refno,0,NONE_ACCEPTABLE,,,
V3R-1d798346ebe5,review shared surface refno in mixed shop note before close,refno,1,refno,,,
V3R-1dd470e83010,review shared surface txn in mixed shop note before close,txn,0,txn,,,
V3R-1dd470e83010,review shared surface txn in mixed shop note before close,txn,1,NONE_ACCEPTABLE,,,
V3R-1e0cd51a4d93,check row once before posting — context unclear,row,0,NONE_ACCEPTABLE,,,
V3R-1e0cd51a4d93,check row once before posting — context unclear,row,1,row_alt,,,
V3R-1e0cd51a4d93,check row once before posting — context unclear,row,2,row,,,
V3R-1e0cd51a4d93,check row once before posting — context unclear,row,3,ROW,,,
V3R-1e0f47cf0255,Please update the row field in the English settings panel,row,0,row_alt,,,
V3R-1e0f47cf0255,Please update the row field in the English settings panel,row,1,NONE_ACCEPTABLE,,,
V3R-1e0f47cf0255,Please update the row field in the English settings panel,row,2,row,,,
V3R-1e0f47cf0255,Please update the row field in the English settings panel,row,3,ROW,,,
V3R-1e5f86c4619c,Do not transliterate the word sac in this English sentence,sac,0,NONE_ACCEPTABLE,,,
V3R-1e5f86c4619c,Do not transliterate the word sac in this English sentence,sac,1,sac,,,
V3R-1f57c7bedfc5,branch ledger: cancel entry ra tara baaki milaaune,cancel,0,tara,,,
V3R-1f57c7bedfc5,branch ledger: cancel entry ra tara baaki milaaune,cancel,1,cancel,,,
V3R-1f57c7bedfc5,branch ledger: cancel entry ra tara baaki milaaune,cancel,2,NONE_ACCEPTABLE,,,
V3R-1f7a7a0771fa,Please update the group field in the English settings panel,group,0,NONE_ACCEPTABLE,,,
V3R-1f7a7a0771fa,Please update the group field in the English settings panel,group,1,GROUP,,,
V3R-1f7a7a0771fa,Please update the group field in the English settings panel,group,2,group_alt,,,
V3R-1f7a7a0771fa,Please update the group field in the English settings panel,group,3,group,,,
V3R-1ff093d1a1d5,The closing status must remain pending until confirm,closing,0,NONE_ACCEPTABLE,,,
V3R-1ff093d1a1d5,The closing status must remain pending until confirm,closing,1,closing,,,
V3R-202cb15c4e92,check charge once before posting — context unclear,charge,0,CHARGE,,,
V3R-202cb15c4e92,check charge once before posting — context unclear,charge,1,charge,,,
V3R-202cb15c4e92,check charge once before posting — context unclear,charge,2,NONE_ACCEPTABLE,,,
V3R-202cb15c4e92,check charge once before posting — context unclear,charge,3,charge_alt,,,
V3R-2128d9b30717,check copy once before posting — context unclear,copy,0,COPY,,,
V3R-2128d9b30717,check copy once before posting — context unclear,copy,1,copy_alt,,,
V3R-2128d9b30717,check copy once before posting — context unclear,copy,2,copy,,,
V3R-2128d9b30717,check copy once before posting — context unclear,copy,3,NONE_ACCEPTABLE,,,
V3R-22756958ec92,Please update the notice field in the English settings panel,notice,0,NOTICE,,,
V3R-22756958ec92,Please update the notice field in the English settings panel,notice,1,NONE_ACCEPTABLE,,,
V3R-22756958ec92,Please update the notice field in the English settings panel,notice,2,notice,,,
V3R-22756958ec92,Please update the notice field in the English settings panel,notice,3,notice_alt,,,
V3R-231540b4b9fe,Please update the ratecard field in the English settings panel,ratecard,0,NONE_ACCEPTABLE,,,
V3R-231540b4b9fe,Please update the ratecard field in the English settings panel,ratecard,1,ratecard_alt,,,
V3R-231540b4b9fe,Please update the ratecard field in the English settings panel,ratecard,2,RATECARD,,,
V3R-231540b4b9fe,Please update the ratecard field in the English settings panel,ratecard,3,ratecard,,,
V3R-233373860e3f,branch ledger: asset entry ra tireko baaki milaaune,asset,0,asset,,,
V3R-233373860e3f,branch ledger: asset entry ra tireko baaki milaaune,asset,1,NONE_ACCEPTABLE,,,
V3R-233373860e3f,branch ledger: asset entry ra tireko baaki milaaune,asset,2,tireko,,,
V3R-241c40299ec1,aaja scan ko hisab milaaidim ra baaki clear gara,scan,0,scan,,,
V3R-241c40299ec1,aaja scan ko hisab milaaidim ra baaki clear gara,scan,1,SCAN,,,
V3R-241c40299ec1,aaja scan ko hisab milaaidim ra baaki clear gara,scan,2,scan_alt,,,
V3R-241c40299ec1,aaja scan ko hisab milaaidim ra baaki clear gara,scan,3,NONE_ACCEPTABLE,,,
V3R-245f33011ddb,Please update the value field in the English settings panel,value,0,value_alt,,,
V3R-245f33011ddb,Please update the value field in the English settings panel,value,1,value,,,
V3R-245f33011ddb,Please update the value field in the English settings panel,value,2,NONE_ACCEPTABLE,,,
V3R-245f33011ddb,Please update the value field in the English settings panel,value,3,VALUE,,,
V3R-246641914a54,check slip once before posting — context unclear,slip,0,SLIP,,,
V3R-246641914a54,check slip once before posting — context unclear,slip,1,NONE_ACCEPTABLE,,,
V3R-246641914a54,check slip once before posting — context unclear,slip,2,slip_alt,,,
V3R-246641914a54,check slip once before posting — context unclear,slip,3,slip,,,
