review_id,input_text,highlighted_span,candidate_index,candidate_surface,acceptability,reviewer_entered_candidate,notes
V3R-010cdc75f551,check group once before posting — context unclear,group,3,GROUP,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-01a333bb2557,Please update the warning field in the English settings panel,warning,0,warning_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-01a333bb2557,Please update the warning field in the English settings panel,warning,1,WARNING,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-01a333bb2557,Please update the warning field in the English settings panel,warning,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-01a333bb2557,Please update the warning field in the English settings panel,warning,3,warning,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-01cedb54ea05,malik ji lejhar report pathaunuhos,lejhar,0,lejhar,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-01cedb54ea05,malik ji lejhar report pathaunuhos,lejhar,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-01cedb54ea05,malik ji lejhar report pathaunuhos,lejhar,2,Lejhar,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-021bc5be5f22,chhaina ra paisa mismatch bhayo,chhaina,0,chhaina,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-021bc5be5f22,chhaina ra paisa mismatch bhayo,chhaina,1,Chhaina,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-021bc5be5f22,chhaina ra paisa mismatch bhayo,chhaina,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-021c49e9be0a,please barsa update gardinu,barsa,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-021c49e9be0a,please barsa update gardinu,barsa,1,Barsa,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-021c49e9be0a,please barsa update gardinu,barsa,2,barsa,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0264cf7a9e96,aaja error ko hisab milaaidim ra baaki clear gara,error,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0264cf7a9e96,aaja error ko hisab milaaidim ra baaki clear gara,error,1,ERROR,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0264cf7a9e96,aaja error ko hisab milaaidim ra baaki clear gara,error,2,error,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0264cf7a9e96,aaja error ko hisab milaaidim ra baaki clear gara,error,3,error_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-027ef9eb005d,nafa ra paisa mismatch bhayo,nafa,0,Nafa,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-027ef9eb005d,nafa ra paisa mismatch bhayo,nafa,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-027ef9eb005d,nafa ra paisa mismatch bhayo,nafa,2,nafa,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-02b906229029,maybe charge means English UI or Romanized Nepali — reviewer must decide (case 13),charge,0,charge,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-02b906229029,maybe charge means English UI or Romanized Nepali — reviewer must decide (case 13),charge,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-02b906229029,maybe charge means English UI or Romanized Nepali — reviewer must decide (case 13),charge,2,none_acceptable,INCORRECT,,Alternative surface diverges from the natural form for this context. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-02be7e764d99,check gate once before posting — context unclear,gate,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-02be7e764d99,check gate once before posting — context unclear,gate,1,gate,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-02be7e764d99,check gate once before posting — context unclear,gate,2,gate_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-02be7e764d99,check gate once before posting — context unclear,gate,3,GATE,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-03698d27a91a,Please update the copy field in the English settings panel,copy,0,copy_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-03698d27a91a,Please update the copy field in the English settings panel,copy,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-03698d27a91a,Please update the copy field in the English settings panel,copy,2,copy,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-03698d27a91a,Please update the copy field in the English settings panel,copy,3,COPY,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-039ebaaf8dfb,Customer Ajay Basnet paid by bank transfer yesterday (name case 45),Ajay,0,Ajay,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-039ebaaf8dfb,Customer Ajay Basnet paid by bank transfer yesterday (name case 45),Ajay,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-03e7c316d938,alignment challenge 49: keep surface [㎡] intact (square metre symbol),㎡,0,㎡,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-03e7c316d938,alignment challenge 49: keep surface [㎡] intact (square metre symbol),㎡,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0439e75cca16,check mail once before posting — context unclear,mail,0,MAIL,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0439e75cca16,check mail once before posting — context unclear,mail,1,mail_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0439e75cca16,check mail once before posting — context unclear,mail,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0439e75cca16,check mail once before posting — context unclear,mail,3,mail,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-04775eae1bb0,Do not mutate protected token SERIAL-SN-V3-0001-R049 inside the posting draft case 49 (synthetic serial),SERIAL-SN-V3-0001-R049,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-04775eae1bb0,Do not mutate protected token SERIAL-SN-V3-0001-R049 inside the posting draft case 49 (synthetic serial),SERIAL-SN-V3-0001-R049,1,SERIAL-SN-V3-0001-R049,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0497c6944f38,Please open the freight module and export the report,freight,0,freight,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0497c6944f38,Please open the freight module and export the report,freight,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-04bfbfbe55a3,Please update the post field in the English settings panel,post,0,post,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-04bfbfbe55a3,Please update the post field in the English settings panel,post,1,POST,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-04bfbfbe55a3,Please update the post field in the English settings panel,post,2,post_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-04bfbfbe55a3,Please update the post field in the English settings panel,post,3,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05099c0173b4,aaja bujhe hisab milaaidim please,bujhe,0,Bujhe,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05099c0173b4,aaja bujhe hisab milaaidim please,bujhe,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05099c0173b4,aaja bujhe hisab milaaidim please,bujhe,2,bujhe,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-052617925a34,check column once before posting — context unclear,column,0,COLUMN,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-052617925a34,check column once before posting — context unclear,column,1,column,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-052617925a34,check column once before posting — context unclear,column,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-052617925a34,check column once before posting — context unclear,column,3,column_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05611ef4a6b6,aaja select ko hisab milaaidim ra baaki clear gara,select,0,SELECT,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05611ef4a6b6,aaja select ko hisab milaaidim ra baaki clear gara,select,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05611ef4a6b6,aaja select ko hisab milaaidim ra baaki clear gara,select,2,select,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-05611ef4a6b6,aaja select ko hisab milaaidim ra baaki clear gara,select,3,select_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-05f1a3f0daa2,Sync failed for reject queue — retry after backup,reject,0,reject,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-05f1a3f0daa2,Sync failed for reject queue — retry after backup,reject,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-060bef377cd5,review shared surface upc in mixed shop note before close,upc,0,upc,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-060bef377cd5,review shared surface upc in mixed shop note before close,upc,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0618b67c2c1d,check margin once before posting — context unclear,margin,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0618b67c2c1d,check margin once before posting — context unclear,margin,1,margin,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0618b67c2c1d,check margin once before posting — context unclear,margin,2,margin_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0618b67c2c1d,check margin once before posting — context unclear,margin,3,MARGIN,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0639d0d0795b,maybe box means English UI or Romanized Nepali — reviewer must decide (case 21),box,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0639d0d0795b,maybe box means English UI or Romanized Nepali — reviewer must decide (case 21),box,1,box,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-0639d0d0795b,maybe box means English UI or Romanized Nepali — reviewer must decide (case 21),box,2,none_acceptable,INCORRECT,,Alternative surface diverges from the natural form for this context. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0642ba6e39d3,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R087 inside the posting draft case 87 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R087,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0642ba6e39d3,Do not mutate protected token UUID-00000000-0000-4000-8000-000000000001-R087 inside the posting draft case 87 (synthetic uuid),UUID-00000000-0000-4000-8000-000000000001-R087,1,UUID-00000000-0000-4000-8000-000000000001-R087,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-069e7085c9f9,Create a draft capital and leave it unposted,capital,0,capital,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-069e7085c9f9,Create a draft capital and leave it unposted,capital,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06a08a856039,Accounting staff asked about upi settings in Ask MokXya,upi,0,upi,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-06a08a856039,Accounting staff asked about upi settings in Ask MokXya,upi,1,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06a6b65e4022,branch ledger: import entry ra aaunu baaki milaaune,aaunu,0,import,INCORRECT,,Alternative surface diverges from the natural form for this context. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06a6b65e4022,branch ledger: import entry ra aaunu baaki milaaune,aaunu,1,aaunu,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-06a6b65e4022,branch ledger: import entry ra aaunu baaki milaaune,aaunu,2,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06dc02c56ca2,check token once before posting — context unclear,token,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06dc02c56ca2,check token once before posting — context unclear,token,1,token,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-06dc02c56ca2,check token once before posting — context unclear,token,2,token_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06dc02c56ca2,check token once before posting — context unclear,token,3,TOKEN,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06e8cf6759b4,Enter TCS code in the tax panel without Devanagari rewrite (acr case 33),TCS,0,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-06e8cf6759b4,Enter TCS code in the tax panel without Devanagari rewrite (acr case 33),TCS,1,TCS,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-072a9b32369c,Please update the rate field in the English settings panel,rate,0,RATE,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-072a9b32369c,Please update the rate field in the English settings panel,rate,1,rate_alt,INCORRECT,,Alternate form adds noise; original surface is the correct choice here. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-072a9b32369c,Please update the rate field in the English settings panel,rate,2,rate,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
V3R-072a9b32369c,Please update the rate field in the English settings panel,rate,3,NONE_ACCEPTABLE,INCORRECT,,Original surface is fine; NONE_ACCEPTABLE would over-reject a valid form. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0799772bcd73,malik ji receipt report pathaunuhos,receipt,0,Receipt,INCORRECT,,UI field labels follow the original casing convention; do not change case. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:not_acceptable_to_incorrect
V3R-0799772bcd73,malik ji receipt report pathaunuhos,receipt,1,receipt,ACCEPTABLE_PREFERRED,,Original surface matches the natural form used in the input sentence; accept as-is. | OPTION_A_MECHANICAL_REMAP_FROM_GENSPARK_LABELS:acceptable_matching_span_to_preferred
