opaque_review_id,input_text,highlighted_span,context_note,disposition,confidence,reviewer_notes
"R3M-78398b2e359d4573","aaja choice ko hisab milaaidim ra baaki clear gara","choice","Neutral triage sample. Assign disposition independently.","","",""
"R3M-66f0f43c8142c0dc","aaja spread ko hisab milaaidim ra baaki clear gara","spread","Neutral triage sample. Assign disposition independently.","","",""
"R3M-414bdc3b16fa3d3a","aaja policy ko hisab milaaidim ra baaki clear gara","policy","Neutral triage sample. Assign disposition independently.","","",""
"R3M-aa309092334256a2","aaja mail ko hisab milaaidim ra baaki clear gara","mail","Neutral triage sample. Assign disposition independently.","","",""
"R3M-221c5ee3dbd6b89c","aaja notice ko hisab milaaidim ra baaki clear gara","notice","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a6a8ed5ada73ebb2","aaja node ko hisab milaaidim ra baaki clear gara","node","Neutral triage sample. Assign disposition independently.","","",""
"R3M-cc48ffd08ff6b62d","check bill once before posting — context unclear","bill","Neutral triage sample. Assign disposition independently.","","",""
"R3M-dd15f7381aa42fce","aaja sign ko hisab milaaidim ra baaki clear gara","sign","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ff51f553f524d40f","aaja field ko hisab milaaidim ra baaki clear gara","field","Neutral triage sample. Assign disposition independently.","","",""
"R3M-bd4a4d0f6943df2a","aaja query ko hisab milaaidim ra baaki clear gara","query","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f6d176941b64f179","aaja rule ko hisab milaaidim ra baaki clear gara","rule","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2cf651815d86fef8","aaja filter ko hisab milaaidim ra baaki clear gara","filter","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b6528cbb05735c80","aaja calendar ko hisab milaaidim ra baaki clear gara","calendar","Neutral triage sample. Assign disposition independently.","","",""
"R3M-95c2b2be549665fe","aaja catalogue ko hisab milaaidim ra baaki clear gara","catalogue","Neutral triage sample. Assign disposition independently.","","",""
"R3M-acf57f506cf02dd0","aaja right ko hisab milaaidim ra baaki clear gara","right","Neutral triage sample. Assign disposition independently.","","",""
"R3M-159123d0c7239f1e","aaja match ko hisab milaaidim ra baaki clear gara","match","Neutral triage sample. Assign disposition independently.","","",""
"R3M-0fa7e2fb08546af6","aaja base ko hisab milaaidim ra baaki clear gara","base","Neutral triage sample. Assign disposition independently.","","",""
"R3M-7b8294831be17493","aaja value ko hisab milaaidim ra baaki clear gara","value","Neutral triage sample. Assign disposition independently.","","",""
"R3M-0d824ce063172523","aaja alert ko hisab milaaidim ra baaki clear gara","alert","Neutral triage sample. Assign disposition independently.","","",""
"R3M-04b27dcc4cb23e19","aaja status ko hisab milaaidim ra baaki clear gara","status","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f4c203063bf4cb39","aaja page ko hisab milaaidim ra baaki clear gara","page","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6201389a711d7a00","aaja file ko hisab milaaidim ra baaki clear gara","file","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d928a80517c0e6eb","aaja column ko hisab milaaidim ra baaki clear gara","column","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ddf70c2381f7c7b7","aaja table ko hisab milaaidim ra baaki clear gara","table","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2c36c16e94489fbb","aaja line ko hisab milaaidim ra baaki clear gara","line","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8261001517cb5da0","aaja warranty ko hisab milaaidim ra baaki clear gara","warranty","Neutral triage sample. Assign disposition independently.","","",""
"R3M-45fd5745efe45f76","aaja shift ko hisab milaaidim ra baaki clear gara","shift","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6111a874a2074c90","aaja select ko hisab milaaidim ra baaki clear gara","select","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e17eeff79fce95e4","aaja group ko hisab milaaidim ra baaki clear gara","group","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1d90c057c9f20e21","aaja guarantee ko hisab milaaidim ra baaki clear gara","guarantee","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e628d2b8107ae697","aaja link ko hisab milaaidim ra baaki clear gara","link","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d333c7e27f2d7412","aaja folder ko hisab milaaidim ra baaki clear gara","folder","Neutral triage sample. Assign disposition independently.","","",""
"R3M-26310f146451e192","aaja bond ko hisab milaaidim ra baaki clear gara","bond","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e021eda9620a7489","aaja print ko hisab milaaidim ra baaki clear gara","print","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e724b28b44a842ab","aaja option ko hisab milaaidim ra baaki clear gara","option","Neutral triage sample. Assign disposition independently.","","",""
"R3M-834389be6948092e","aaja lock ko hisab milaaidim ra baaki clear gara","lock","Neutral triage sample. Assign disposition independently.","","",""
"R3M-356d4d7eb39959df","aaja code ko hisab milaaidim ra baaki clear gara","code","Neutral triage sample. Assign disposition independently.","","",""
"R3M-93a2262015660f1b","aaja range ko hisab milaaidim ra baaki clear gara","range","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8d017c2e26772b07","aaja class ko hisab milaaidim ra baaki clear gara","class","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e19f927948056355","aaja ticket ko hisab milaaidim ra baaki clear gara","ticket","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8450df6e1b221a9d","aaja series ko hisab milaaidim ra baaki clear gara","series","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2e5125345abf6392","aaja flag ko hisab milaaidim ra baaki clear gara","flag","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4237813df4441428","grahak le invoice bare sodheko cha","invoice","Neutral triage sample. Assign disposition independently.","","",""
"R3M-f05f8837e978a1fe","please yasari update gardinu","yasari","Neutral triage sample. Assign disposition independently.","","",""
"R3M-c2178946ef0f0598","please pasal update gardinu","pasal","Neutral triage sample. Assign disposition independently.","","",""
"R3M-14eb4a55579ac84c","malik ji noksan report pathaunuhos","noksan","Neutral triage sample. Assign disposition independently.","","",""
"R3M-9ad628f42ba9d01f","raati ra paisa mismatch bhayo","raati","Neutral triage sample. Assign disposition independently.","","",""
"R3M-0b455835f0dd614f","malik ji tapai report pathaunuhos","tapai","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6b07d821abfb7abf","malik ji chaina report pathaunuhos","chaina","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6bea5d21043c9478","yo suna last week ko ho","suna","Neutral triage sample. Assign disposition independently.","","",""
"R3M-30ac6384fcf369b9","hijo ko lekheko entry check gara","lekheko","Neutral triage sample. Assign disposition independently.","","",""
"R3M-02625797eab5a72f","bholi samma garaidim baaki clear garnu","garaidim","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b3a30d8842a00ae0","please barsa update gardinu","barsa","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1e4a63e4676113f2","malik ji kasari report pathaunuhos","kasari","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4b7667048e93fa40","malik ji receipt report pathaunuhos","receipt","Neutral triage sample. Assign disposition independently.","","",""
"R3M-5481dfd066f574c9","yo maal last week ko ho","maal","Neutral triage sample. Assign disposition independently.","","",""
"R3M-886ebf16e5d39b86","hijo ko suna entry check gara","suna","Neutral triage sample. Assign disposition independently.","","",""
"R3M-7fa0b0b4ce4c0fd3","malik ji aamdani report pathaunuhos","aamdani","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6e7f45a8c5565ff1","aaja bank hisab milaaidim please","bank","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6f364401d239b1c2","bholi samma kahile baaki clear garnu","kahile","Neutral triage sample. Assign disposition independently.","","",""
"R3M-5c712f178a5853ad","malik ji petrol report pathaunuhos","petrol","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e4b0b1cddd3e93dd","malik ji kinyo report pathaunuhos","kinyo","Neutral triage sample. Assign disposition independently.","","",""
"R3M-41544cfafd4d788f","bholi samma beluka baaki clear garnu","beluka","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ce382ac0ecac3580","pathau ra paisa mismatch bhayo","pathau","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4a76c1701f3c39c4","grahak le nafa bare sodheko cha","nafa","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1709fbe69e312bb9","yo cash last week ko ho","cash","Neutral triage sample. Assign disposition independently.","","",""
"R3M-8c56170b24dd7162","grahak le thaha bare sodheko cha","thaha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d0104480ceba4740","please parcha update gardinu","parcha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-c4e0f1d977363fcf","malik ji thyo report pathaunuhos","thyo","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1ec5a18fb538b7b6","aaja bola hisab milaaidim please","bola","Neutral triage sample. Assign disposition independently.","","",""
"R3M-02513489c4d2be9e","hijo ko thaha entry check gara","thaha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-ad713ad91e5d1555","statement ra paisa mismatch bhayo","statement","Neutral triage sample. Assign disposition independently.","","",""
"R3M-dd98c4f9e333667b","malik ji bonus report pathaunuhos","bonus","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d135eb355be81ec9","hajurko ra paisa mismatch bhayo","hajurko","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6db40313d21f3978","grahak le suneeko bare sodheko cha","suneeko","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1f8157a41b1bcf5b","grahak le kinabhane bare sodheko cha","kinabhane","Neutral triage sample. Assign disposition independently.","","",""
"R3M-93ba76b5fc162adc","bholi samma padheko baaki clear garnu","padheko","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3e04caa21620ac17","hijo ko order entry check gara","order","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e0d6b2f577a50cd6","grahak le kaha bare sodheko cha","kaha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-35ef6f7a434fca7b","grahak le pachi bare sodheko cha","pachi","Neutral triage sample. Assign disposition independently.","","",""
"R3M-7ea8301f1b60de04","hijo ko bihana entry check gara","bihana","Neutral triage sample. Assign disposition independently.","","",""
"R3M-22f1827f626199d1","bholi samma lejhar baaki clear garnu","lejhar","Neutral triage sample. Assign disposition independently.","","",""
"R3M-84d86404347fbeda","please rakha update gardinu","rakha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-94816071bbe24ceb","grahak le raati bare sodheko cha","raati","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4fd6c2ad95fb3b1e","bholi samma tara baaki clear garnu","tara","Neutral triage sample. Assign disposition independently.","","",""
"R3M-c186565e81d04368","yo pathau last week ko ho","pathau","Neutral triage sample. Assign disposition independently.","","",""
"R3M-4eb1689033e0bcc5","hijo ko kehi entry check gara","kehi","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d182b611bd7eb43d","malik ji dokaan report pathaunuhos","dokaan","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2a9399de477b72a4","kinabhane ra paisa mismatch bhayo","kinabhane","Neutral triage sample. Assign disposition independently.","","",""
"R3M-bd1fb8f0da25a048","voucher ra paisa mismatch bhayo","voucher","Neutral triage sample. Assign disposition independently.","","",""
"R3M-66d384ab4145deee","please bola update gardinu","bola","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d0bb3db18a8bcf90","malik ji thulo report pathaunuhos","thulo","Neutral triage sample. Assign disposition independently.","","",""
"R3M-2dcefcf941f01bae","bholi samma bill baaki clear garnu","bill","Neutral triage sample. Assign disposition independently.","","",""
"R3M-9160317ed2224aaf","yo tyasari last week ko ho","tyasari","Neutral triage sample. Assign disposition independently.","","",""
"R3M-d07bfae56a5f5473","sakcha ra paisa mismatch bhayo","sakcha","Neutral triage sample. Assign disposition independently.","","",""
"R3M-b3d171b48892598a","tyasari ra paisa mismatch bhayo","tyasari","Neutral triage sample. Assign disposition independently.","","",""
"R3M-05cf0b372e27f7b4","please hapta update gardinu","hapta","Neutral triage sample. Assign disposition independently.","","",""
"R3M-fa0d7d73747b0157","branch ledger: bonus entry ra baaki baaki milaaune","baaki","Neutral triage sample. Assign disposition independently.","","",""
"R3M-a05a4b200b31d536","branch ledger: branch entry ra hunxa baaki milaaune","branch","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3d0b5f889e7920df","Please update the field field in the English settings panel","field","Neutral triage sample. Assign disposition independently.","","",""
"R3M-43089b4a83301149","aaja bill ko hisab milaaidim ra baaki clear gara","bill","Neutral triage sample. Assign disposition independently.","","",""
"R3M-19a318201401a11a","check check once before posting — context unclear","check","Neutral triage sample. Assign disposition independently.","","",""
"R3M-22ae7f6ff1b643f8","check post once before posting — context unclear","post","Neutral triage sample. Assign disposition independently.","","",""
"R3M-e00c683c904de62d","Please update the set field in the English settings panel","set","Neutral triage sample. Assign disposition independently.","","",""
"R3M-6f33f878e69f5da1","Please open the export module and export the report","export","Neutral triage sample. Assign disposition independently.","","",""
"R3M-83ccc983624b3271","aaja aaja hisab milaaidim please","aaja","Neutral triage sample. Assign disposition independently.","","",""
"R3M-1c847b5e03c4c13d","hijo ko hijo entry check gara","hijo","Neutral triage sample. Assign disposition independently.","","",""
"R3M-dfe41d5f1f5fe7c9","aaja hisab hisab milaaidim please","hisab","Neutral triage sample. Assign disposition independently.","","",""
"R3M-fd8d5f95b66a1281","bholi samma bholi baaki clear garnu","bholi","Neutral triage sample. Assign disposition independently.","","",""
"R3M-732fabc61251b260","bholi samma samma baaki clear garnu","samma","Neutral triage sample. Assign disposition independently.","","",""
"R3M-3283ff2974d7ee4b","hijo ko gara entry check gara","gara","Neutral triage sample. Assign disposition independently.","","",""
"R3M-5cff16c0cf5cff69","yo ho last week ko ho","ho","Neutral triage sample. Assign disposition independently.","","",""
